id	encoding	tamanho_bytes	tamanho_bytes_traducao	offset	texto	texto_traduzido	diferenca_bytes	tem_overflow	percentual_diferenca
100	shift_jis	48	49	0x5a9a8	/basement. He must destroy that to proceed. He	/Ele deve destruir isso p/prosseguir.Ele	0	True	2.1
101	shift_jis	42	59	0x5a9d9	)needs a remote control missile to do so.	)precisa de um missil p/ fazer isso.	17	True	40.5
102	shift_jis	51	51	0x5ac04	2basement. He must destroy that to proceed. Snake	2Ele deve destruir isso p/ prosseguir.Snake	0	False	0.0
103	shift_jis	49	56	0x5ac38	0gets ready to shoot the remote control missile.	0se prepara p/ disparar o missil teleguiado.	-5	True	14.3
104	shift_jis	55	70	0x5ad09	6the nuclear launch. Floors with high voltage electric	6Andares com correntes eletricas de alta voltagem	15	True	27.3
105	shift_jis	49	50	0x5ad41	0currents blocked his way in the nuclear warhead	0bloquearam o caminho no predio de armazenamento	-1	True	2.0
106	shift_jis	47	39	0x5ad73	.storage building 2nd floor basement, but with	.de ogivas nucleares subsolo-2 mas com	-8	False	-17.0
107	shift_jis	50	46	0x5ada3	1Deepthroat's advice, Snake destroys the electric	1conselho do Deepthroat Snake destroi o painel	-4	False	-8.0
108	shift_jis	51	54	0x5add6	2control panel with a remote missile and goes past	2de controle com um missil remoto e passa por	-6	True	5.9
109	shift_jis	49	36	0x5ae0a	0this area. Snake heads for the northeast of the	0esta area.Snake vai pro nordeste do	-13	False	-26.5
110	shift_jis	44	47	0x5ae3c	+nuclear warhead storage building 2nd floor	'+predio de armazenamento de ogivas  2.o	-4	True	6.8
111	shift_jis	11	8	0x5ae69	basement.	subsolo.	-3	False	-27.3
112	shift_jis	47	44	0x5af17	.the nuclear launch. After going past the high	.o lancamento nuclear.Depois de passar pelas	-3	False	-6.4
113	shift_jis	48	47	0x5af47	/voltage electric floors in the nuclear warhead	/correntes eletricas de alta voltagem no predio	-1	False	-2.1
114	shift_jis	49	47	0x5af78	0storage building 2nd floor basement, Snake sees	0de armazenamento de ogivas subsolo-2 Snake ve	-2	False	-4.1
115	shift_jis	48	48	0x5afaa	/a bunch of dead enemy soldiers and the stealth	/varios soldados inimigos mortos e a sombra	0	False	0.0
116	shift_jis	43	48	0x5afdb	*camouflage shadow. Sensing the endangered	*da stealth. Sentindo a vida em perigo	-6	True	11.6
117	shift_jis	50	44	0x5b007	1life of Dr. Emmerich, Snake heads for the lab in	1do Dr. Emmerich Snake, vai pro laboratorio a	-6	False	-12.0
118	shift_jis	46	46	0x5b03a	-the northwest of the nuclear warhead storage	-noroeste do armazem de ogivas	0	False	0.0
119	shift_jis	50	42	0x5b069	1building 2nd floor basement where he is trapped.	1nucleares subsolo-2 onde ele ta preso.	-10	False	-16.0
120	shift_jis	51	50	0x5b0da	2Snake successfully rescues Otacon, but is shocked	2Snake resgata Otacon mas fica chocado pelo	-1	False	-2.0
121	shift_jis	53	58	0x5b10e	4by the fact that the Ninja he drove away is his war	4fato que o Ninja com quem lutou eh seu companheiro	1	True	9.4
122	shift_jis	49	48	0x5b144	0buddy Gray Fox. Discovering that Metal Gear has	0de guerra Gray Fox.Descobrindo q Metal Gear foi	-1	False	-2.0
123	shift_jis	54	55	0x5b176	5been developed against his will as a nuclear missile	5desenvolvido contra vontade como um tanque andante	-3	True	1.9
124	shift_jis	47	51	0x5b1ad	.launching walking tank, Otacon offers to help	.lancador de misseis Otacon oferece ajuda a	-6	True	8.5
125	shift_jis	53	55	0x5b1dd	4Snake. Snake tries to meet up with Meryl to get the	4Snake. Ele tenta se encontrar com Meryl p/ pegar a	0	True	3.8
126	shift_jis	49	61	0x5b213	0detonation code emergency override key that she	0chave de anulacao do codigo de detonacao q ela	12	True	24.5
127	shift_jis	52	46	0x5b245	3has. According to Otacon, Meryl is disguised as an	3tem.Segundo Otacon ela ta disfarcada como soldado	-8	False	-11.5
128	shift_jis	16	16	0x5b27a	enemy soldier.	inimigo.	0	False	0.0
129	shift_jis	45	45	0x5b2cc	,After meeting up with Meryl, Snake gets the	,Depois encontrar com Meryl Snake pega a	0	False	0.0
130	shift_jis	50	61	0x5b2fa	1detonation code emergency override key from her.	1chave de anulacao do codigo de detonacao dela.	11	True	22.0
131	shift_jis	45	38	0x5b32d	,However, she only had one of the three keys	,Porem ela so tinha uma das tres chaves	-7	False	-15.6
132	shift_jis	49	45	0x5b35b	0To stop the nuclear attack, one must deactivate	0P/ parar o ataque nuclear deve-se desativar	-4	False	-8.2
133	shift_jis	52	56	0x5b38d	3the detonation code or destroy Metal Gear itself.	3o codigo de detonacao ou destruir o M. Gear.	0	True	7.7
134	shift_jis	43	40	0x5b3c2	*Snake and Meryl head for the underground	*Snake e Meryl vao p/ base de manutencao	-3	False	-7.0
135	shift_jis	44	39	0x5b3ee	+maintenance base where Metal Gear is being	+subterranea onde Metal Gear ta sendo	-7	False	-11.4
136	shift_jis	10	11	0x5b41b	stored.	mantido	0	True	10.0
137	shift_jis	48	41	0x5b426	/According to Meryl, there is no way other than	/Segundo Meryl nao ha outro caminho senao	-7	False	-14.6
138	shift_jis	46	37	0x5b457	-going north from the Commander's room on the	-ir ao norte da sala do Comandante no	-9	False	-19.6
139	shift_jis	43	38	0x5b486	*1st floor basement in the nuclear warhead	*subsolo-1 do predio de armazenamento de	-5	False	-11.6
140	shift_jis	19	20	0x5b4b2	storage building.	ogivas nucleares.	0	True	5.3
141	shift_jis	46	40	0x5b562	-However, she only had one of the three keys.	-Porem ela so tinha uma das tres chaves.	-6	False	-13.0
142	shift_jis	51	56	0x5b5c3	2the detonation code or destroy Metal Gear itself.	2o codigo de detonacao ou destruir o M. Gear.	1	True	9.8
143	shift_jis	42	38	0x5b5f7	)Snake and Meryl head for the underground	)Snake e Meryl vao p/ base subterranea	-4	False	-9.5
144	shift_jis	46	39	0x5b64f	-stored, from the Commander's room on the 1st	-armazenado da sala do Comandante no	-7	False	-15.2
145	shift_jis	47	45	0x5b67e	.floor basement in the nuclear warhead storage	.subsolo-1 do predio de armazenamento de	-2	False	-4.3
146	shift_jis	45	44	0x5b6ae	,building. But suddenly, Meryl starts acting	,ogivas nucleares. Mas Meryl comeca a agir	-1	False	-2.2
147	shift_jis	10	10	0x5b6dc	weird...	estranho	0	False	0.0
148	latin-1	37	18	0x5b6f5	@8`4VoVoPePlOPrUPd	@8`4VoVoPePlOPrUPd	-19	False	-51.4
149	shift_jis	50	51	0x5b725	1To stop the terrorists' nuclear attack, one must	1P/parar o ataqe nuclear dos terroristas deve-se	0	True	2.0
150	shift_jis	49	46	0x5b758	0deactivate the detonation code or destroy Metal	0desativar o codigo de detonacao ou destruir o	-3	False	-6.1
151	shift_jis	43	41	0x5b78a	*Gear itself. Snake and Meryl head for the	*proprio Metal Gear.Snake e Meryl vao p/	-2	False	-4.7
152	shift_jis	42	42	0x5b7b6	)underground maintenance base where Metal	)base de manutencao subterranea onde M.	0	False	0.0
153	shift_jis	42	52	0x5b7e1	)Gear is being stored. However, FOX-HOUND	)Gear ta sendo mantido. Porem	8	True	23.8
154	shift_jis	38	28	0x5b80c	%member Psycho Mantis confronts them.	%Psycho Mantis os confronta.	-10	False	-26.3
155	shift_jis	50	51	0x5b833	1After losing the battle, Mantis tells Snake that	1Depois d perder a batalha Mantis conta Snake q	0	True	2.0
156	shift_jis	43	32	0x5b866	*there is no way to get to the underground	*nao ha caminho p/ chegar a base	-11	False	-25.6
157	shift_jis	46	49	0x5b892	-maintenance base other than going north from	-de manutencao senao indo ao norte da	-9	True	6.5
158	shift_jis	43	40	0x5b8c1	*the Commander's room and through the cave	*sala do Comandante e atraves da caverna	-3	False	-7.0
159	shift_jis	30	28	0x5b8ed	to the Communications Tower.	ate a Torre de Comunicacoes.	-2	False	-6.7
160	shift_jis	19	19	0x5b90c	Then Mantis dies.	E Mantis morre..	0	False	0.0
161	shift_jis	45	44	0x5b9ef	,Communications Tower -- the only way to the	,Torre de Comunicacoes –o unico caminho p/	-1	False	-2.2
162	shift_jis	41	50	0x5ba1d	(underground maintenance base. FOX-HOUND	(base de manutencao.O membro FOX-HOUND	-3	True	22.0
163	shift_jis	48	37	0x5ba47	/member Sniper Wolf fires at them, and Meryl is	/Sniper Wolf atira neles e Meryl fica	-11	False	-22.9
164	shift_jis	48	52	0x5ba78	/badly wounded. It is a trap to lure out Snake.	/ferida.Eh uma armadilha p/ atrair Snake.	-7	True	8.3
165	shift_jis	45	48	0x5baa9	,Snake must get a PSG1 to beat Wolf and save	,Snake pega um PSG1 p/ vencer Wolf e salva	-3	True	6.7
166	shift_jis	40	41	0x5bbb2	'Communications Tower. FOX-HOUND member	T. de Comunicacoes. Sniper Wolf	0	True	2.5
167	shift_jis	47	48	0x5bbdb	.Sniper Wolf fires at them, and Meryl is badly	.membro da FOX-HOUND, atira neles e Meryl fica	-10	True	2.1
168	shift_jis	48	39	0x5bc0b	/wounded. To save Meryl, Snake heads to the 2nd	/ferida. P/ salvar Meryl, Snake vai ao	-9	False	-18.8
169	shift_jis	49	39	0x5bc3c	0floor basement of the tank hangar for the PSG1,	0subsolo-2 do hangar de tanques pelo PSG1,	-10	False	-20.4
170	shift_jis	50	43	0x5bc6e	1the only weapon effective to fight against Wolf.	1a unica arma efetiva p/ lutar contra Wolf.	-7	False	-14.0
171	latin-1	37	19	0x5bcb5	"@`
VoVoPePliuPri{Pd"	@` VoVoPePliuPri{Pd	-18	False	-48.6
172	shift_jis	43	40	0x5bda4	*underground maintenance base. However, on	*base de manutencao subterranea.Porem no	-3	False	-7.0
173	shift_jis	49	54	0x5bdd0	0their way through the underground passage, FOX-	0caminho pela passagem subterranea o membro FOX-	5	True	10.2
174	shift_jis	42	34	0x5be02	)HOUND member Sniper Wolf fires at Meryl.	)HOUND Sniper Wolf atira na Meryl.	-8	False	-19.0
175	shift_jis	49	39	0x5be2d	0Acquiring the PSG1 -- the only weapon effective	0Pegando o PSG1 -- a unica arma efetiva	-10	False	-20.4
176	shift_jis	49	36	0x5be5f	0to fight  against Wolf, Snake heads back to the	0p/ lutar contra Wolf Snake volta a passagem	-13	False	-26.5
177	shift_jis	36	38	0x5be91	#underground passage to save Meryl.	#subterranea p/ salvar Meryl.	0	True	5.6
178	shift_jis	47	47	0x5bfdf	.their way through underground passage, Sniper	.no caminho da passagem subterranea Sniper	0	False	0.0
179	shift_jis	48	41	0x5c00f	/Wolf fires at Meryl. Acquiring the PSG1, Snake	/Wolf atira na Meryl.Pegando o PSG1 Snake	-7	False	-14.6
180	shift_jis	48	41	0x5c040	/beats Wolf. However, Meryl is no longer there.	/vence Wolf.Porem Meryl nao ta mais la.	-9	False	-14.6
181	shift_jis	47	53	0x5c071	.Snake heads north to get clues to find Meryl.	.Snake vai ao norte p/ ter pistas sobre Meryl.	-2	True	12.8
182	shift_jis	48	52	0x5c173	/underground maintenance base. Meryl is shot by	/base de manutencao.Meryl eh baleada por	-8	True	8.3
183	shift_jis	48	40	0x5c1a4	/Sniper Wolf and is taken hostage, and Snake is	/Sniper Wolf e eh feita refem e Snake eh	-8	False	-16.7
184	shift_jis	16	14	0x5c1d5	also captured.	tbm capturado.	-2	False	-12.5
185	shift_jis	47	44	0x5c1e6	.Enduring the torture with Meryl's life on the	.Suportando a tortura com a vida de Meryl em	-3	False	-6.4
186	shift_jis	49	46	0x5c216	0line,  Snake waits for an opportunity to escape	0jogo Snake espera uma oportunidade de escapar	-3	False	-6.1
187	shift_jis	11	8	0x5c248	the cell.	da cela.	-3	False	-27.3
188	shift_jis	43	44	0x5c2c8	*deactivate the detonation code or destroy	*parar o codigo de detonacao ou destruir	0	True	2.3
189	shift_jis	49	43	0x5c2f4	0Metal Gear itself. Snake and Meryl head for the	0o proprio Metal Gear.Snake e Meryl vao p/	-6	False	-12.2
190	shift_jis	49	53	0x5c399	0Suffering Ocelot's torture, Snake can no longer	0Sofrendo a tortura de Ocelot Snake n consegue	4	True	8.2
191	shift_jis	52	49	0x5c3cb	3resist the pain and submits. Ocelot tells him that	3resistir a dor e se rende.Ocelot conta a ele q	-3	False	-5.8
192	shift_jis	21	16	0x5c400	he will kill Meryl.	vai matar Meryl.	-5	False	-23.8
193	shift_jis	48	45	0x5c457	/The government refused to fulfill the demands,	/O governo se recusou a cumprir as exigencias,	-3	False	-6.2
194	shift_jis	54	63	0x5c488	5the terrorists started preparing for launch. To stop	5os terroristas comecaram o lancamento.P/ parar	-7	True	16.7
195	shift_jis	48	49	0x5c4bf	/the launch, Snake must use the detonation code	/o lancamento Snake deve usar a chave de	-2	True	2.1
196	shift_jis	43	45	0x5c4f0	*emergency override key at the underground	*anulacao de detonacao na base de	0	True	4.7
197	shift_jis	48	60	0x5c51c	/maintenance base or destroy Metal Gear itself.	/manutencao ou destruir o proprio Metal Gear.	12	True	25.0
198	shift_jis	47	41	0x5c54d	.Taken hostage, Snake is subjected to Ocelot's	.Feito refem Snake eh submetido a tortura	-6	False	-12.8
199	shift_jis	47	47	0x5c57d	.torture. If he submits, Meryl will be killed.	.de Ocelot.Se ele desistir, Meryl morre.	0	False	0.0
200	shift_jis	47	43	0x5c5ad	.Campbell tells Snake, who is drained from the	.Campbell conta ao Snake q ta esgotado da	-6	False	-8.5
201	shift_jis	50	46	0x5c5dd	1torture, that Metal Gear is equipped with a new-	1tortura, q Metal Gear vem equipado com um tipo-	-4	False	-8.0
202	shift_jis	42	39	0x5c610	)type of nuclear warhead. Snake waits for	)de ogiva nuclear.Snake espera por uma	-3	False	-7.1
203	shift_jis	36	37	0x5c63b	#an opportunity to escape the cell.	#oportunidade de escapar da cela.	0	True	2.8
204	latin-1	37	18	0x5c66b	@]`YVoVoPePlkPrkPd	@]`YVoVoPePlkPrkPd	-19	False	-51.4
205	shift_jis	42	39	0x5c791	)Taken hostage, Snake submits to Ocelot's	)Feito refem Snake se submete a tortura	-3	False	-7.1
206	shift_jis	48	43	0x5c7bc	/torture and is told that Meryl will be killed.	/de Ocelot e eh contado q Meryl sera morta.	-5	False	-10.4
207	shift_jis	43	55	0x5c7ed	*While Snake is haunted with great regret,	*Snake, assombrado por arrependimento,	12	True	27.9
208	shift_jis	50	50	0x5c819	1Campbell tells Snake that Metal Gear is equipped	1Campbell conta a Snake q Metal Gear vem equipado	0	False	0.0
209	shift_jis	49	45	0x5c84c	0with a new-type of nuclear warhead. To stop the	0com um novo tipo de ogiva nuclear.P/ parar o	-4	False	-8.2
210	shift_jis	51	53	0x5c87e	2launch, Snake waits for the opportunity to escape	2lancamento Snake espera a oportunidade de fugir	0	True	3.9
211	shift_jis	50	52	0x5c8f9	1After outlasting Ocelot's torture, Snake escapes	1Depois d sofrer a tortura d Ocelot Snake escapa	-1	True	4.0
212	shift_jis	51	39	0x5c92c	2from the cell. However, Meryl, taken as the other	2da cela.Porem Meryl tbm feita como refem	-12	False	-23.5
