offset	tamanho_bytes	encoding	texto	texto_traduzido	tamanho_bytes_traduzido
0x7a82b0	56	latin-1	I'll instruct you by codec after|you reach your target.	Vou te instruir por codec depois|que chegar ao seu alvo.	58
0x7a82fc	21	shift_jis	Anyone going with me?	Alguem vai comigo?	19
0x7a8324	50	latin-1	As usual, this is a one-man|infiltration mission.	Como sempre, esta eh uma missao|de infiltracao solo.	59
0x7a8368	49	latin-1	Weapons and equipment OSP|(on-site procurement)?	Armas e equipamentos OSP|(obtencao no local)?	47
0x7a83ac	4	shift_jis	Yes.	Sim.	4
0x7a83c4	30	shift_jis	This is a top-secret black op.	Essa eh uma operacao de alto nivel.	35
0x7a83f4	34	shift_jis	Don't expect any official support.	Nao espere nenhum apoio oficial.	32
0xa1f934	11	shift_jis	Stay alert!	Fique alerta	13
0xa1f950	36	latin-1	He'll be through here...|I know it.	Ele vai passar por aqui..|Eu sei disso.	44
0xa1f988	53	latin-1	I'm going to swat down|a couple of bothersome flies.	Vou derrubar|algumas moscas irritantes.	41
0x10e79d4	9	shift_jis	A Hind D?	Um Hind D?	10
0x10e79f0	8	shift_jis	Colonel,	Coronel,	8
0x10e7a0c	36	shift_jis	what's a Russian gunship doing here?	o que uma aeronave russa faz aqui?	35
0x10e7a44	17	shift_jis	I have no idea...	Nao faco ideia..	16
0x10e7a68	60	latin-1	but it looks like our little diversion|got their attention.	mas parece que nossa distracao|chamou a atencao deles.	63
0x10e7ab8	45	latin-1	Now's your best chance to slip in|unnoticed!	Agora eh sua chance de entrar|despercebido!	51
0x13d20e4	36	shift_jis	Were the all SOCOM pistols|unloaded?	Todas as pistolas estavam|descarregadas?	48
0x13d211c	30	shift_jis	Yeah. But there was a problem.	Sim. Mas houve um problema.	27
0x13d214c	11	shift_jis	What is it?	O que foi?	9
0x13d2168	36	shift_jis	The security on the door was broken.	A seguranca da porta estava quebrada.	37
0x13d21a0	44	latin-1	So the door is still open?|2nd floor where?	Entao a porta ainda esta aberta?|2o andar onde?	48
0x13d21e0	19	shift_jis	The east side room.	Sala do lado leste.	18
0x13d2204	48	latin-1	We'd better fix it before the Boss|finds out...	E melhor consertarmos antes que o Chefe|descubra..	52
0x14a18e4	19	shift_jis	But that's nothing.	Mas isso nao eh nada	21
0x14a1908	42	latin-1	I heard they spotted an intruder|outside.	Ouvi dizer que avistaram um intruso|la fora.	45
0x14a1944	8	shift_jis	Really!?	Serio!?	7
0x14a1960	46	latin-1	Maybe we'll finally get to see|some action...	Talvez finalmente vejamos|alguma acao..	41
0x14a19a0	52	latin-1	Yeah, but we'd better do|something about that door.	Sim, mas e melhor fazermos|algo sobre aquela porta.	53
0x14a19e8	43	latin-1	Let's put in an order to have it|repaired.	Vamos fazer um pedido p/ que seja|reparada.	44
0x1546120	63	latin-1	I moved the DARPA Chief to the cell|in the 1st floor basement.	Movi o Chefe da DARPA p/ a cela|no porao do 1o andar.	55
0x1546170	35	shift_jis	What about the vent shaft cleaning?	E a limpeza do duto de ventilacao?	41
0x15461a4	33	shift_jis	They just opened the vent covers.	Eles acabaram de abrir as tampas.	33
0x15461d8	42	latin-1	They're about to start spraying|for rats.	Estao prestes a comecar a detetizar|os ratos	48
0x1546214	39	shift_jis	1st floor basement ventilation shaft...	Duto de ventilacao do 1o andar..	35
0x154624c	52	latin-1	Shut those covers as soon as|they're done spraying.	Fechem essas tampas assim que|terminarem de pulverizar.	56
0x1546294	47	latin-1	Also, keep your eye on|that woman in the cell.	Tbm fiquem de olho|naquela mulher na cela.	44
0x15462d4	23	shift_jis	Don't get careless now.	Nao sejam descuidados agora.	28
0x15462fc	18	shift_jis	Woman in the cell?	Mulher na cela?	15
0x1689120	21	shift_jis	Did something happen?	Aconteceu alguma coisa?	22
0x1689148	20	shift_jis	There's an intruder.	Ha um intruso.	13
0x1689170	7	shift_jis	Really?	Serio?	6
0x1689188	31	shift_jis	He's already done three people.	Ele ja matou tres pessoas.	26
0x16891b8	25	shift_jis	He's killed three people?	Ele matou tres pessoas?	23
0x16891e4	5	shift_jis	Yeah.	Sim.	4
0x16891fc	32	shift_jis	They say he's using stealth too.	Dizem que ele ta usando stealth tbm.	37
0x1689230	8	shift_jis	Stealth?	Stealth?	8
0x168924c	31	shift_jis	There's an intruder besides me?	Ha um intruso alem de mim?	27
0x168927c	65	latin-1	Anyway, I want you to increase|the security detail on the chief.	De qualquer forma, quero que aumentem|a seguranca do chefe.	64
0x178b8e4	23	shift_jis	Who...who, who's that??	Quem.quem, quem ta ai?	26
0x178b90c	21	shift_jis	I'm here to save you.	Estou aqui p/ te salvar.	24
0x178b934	48	latin-1	You're the DARPA chief,|Donald Anderson, right?	Vc eh o chefe da DARPA|Donald Anderson, certo?	50
0x178b978	28	shift_jis	You're here to save me, huh?	Vc esta aqui p/ me salvar, ne?	33
0x178b9a8	19	shift_jis	What's your outfit?	Qual a sua unidade?	24
0x178b9cc	57	latin-1	I'm the pawn they sent here|to save your worthless butt.	Sou o peao que mandaram aqui|p/ salvar seu traseiro inutil.	62
0x178ba18	7	shift_jis	Really?	Serio?	6
0x178ba34	12	shift_jis	It's true...	Eh verdade..	12
0x178ba54	32	shift_jis	You don't look like one of them.	Vc nao parece ser um deles.	30
0x178ba88	47	latin-1	In that case, hurry up and|get me out of here.	Nesse caso, se apresse e|me tire daqui.	42
0x178bac8	23	shift_jis	Slow down. Don't worry.	Calma. Nao se preocupe.	23
0x178baf0	55	latin-1	First I want some information...|about the terrorists.	Primeiro eu quero umas informacoes|sobre os terroristas	62
0x178bb38	15	shift_jis	The terrorists?	Os terroristas?	16
0x178bb58	50	latin-1	Do they really have the ability|to launch a nuke?	Eles sao mesmo capazes|de lancar uma ogiva nuclear?	65
0x178bb9c	27	shift_jis	What are you talking about?	Do que vc esta falando?	26
0x178bbc8	48	latin-1	The terrorists are threatening|the White House.	Os terroristas estao ameacando|a Casa Branca.	44
0x178bc0c	48	latin-1	They say if they don't accede|to their demands,	Eles dizem que se nao atenderem|as suas demandas,	51
0x178bc50	32	shift_jis	they'll launch a nuclear weapon.	eles vao lancar uma arma nuclear	32
0x178bc84	14	shift_jis	Sweet Jesus...	Santo Deus..	12
0x178bca4	16	shift_jis	Is it possible!?	Eh possivel!?	13
0x178bcc8	17	shift_jis	...It's possible.	..Eh possivel.	14
0x178bcec	7	shift_jis	They...	Eles..	7
0x178bd04	23	shift_jis	...could launch a nuke.	..podem lancar uma ogiva	26
0x178bd2c	27	shift_jis	How do they plan to launch?	Como eles planejam lancar?	26
0x178bd58	37	shift_jis	I thought this place was just for...	Pensei q este lugar fosse apenas p/.	40
0x178bd90	32	shift_jis	keeping the dismantled warheads.	guardar as ogivas desmontadas.	30
0x178bdc4	43	latin-1	They shouldn't have access to|a missile...	Eles nao deveriam ter acesso a|um missil..	45
0x178be00	54	latin-1	What I'm about to tell you is|classified information.	O que vou te contar e|informacao classificada.	48
0x178be48	5	shift_jis	Okay?	Ok?	3
0x178be60	51	latin-1	We were conducting exercises|with a new type of...	Estavamos conduzindo exercicios|com um novo tipo de	55
0x178bea4	20	shift_jis	experimental weapon.	arma experimental.	18
0x178becc	36	shift_jis	A weapon that will change the world.	Uma arma que mudara o mundo.	28
0x178bf04	5	shift_jis	What?	O que?	6
0x178bf1c	56	latin-1	A weapon with the ability to|launch a nuclear attack...	Uma arma com a capacidade de|lancar um ataque nuclear..	58
0x178bf68	43	latin-1	from any place on the face of|the earth...	de qualquer lugar na face da|terra..	36
0x178bfa4	43	latin-1	...a nuclear equipped|walking battle tank.	..um tanque de batalha|nuclear ambulante.	42
0x1c73880	12	shift_jis	Metal Gear!?	Metal Gear!?	12
0x1c738a0	15	shift_jis	...It can't be!	..Nao pode ser!	16
0x1c738c0	13	shift_jis	...You knew!?	..vc sabia!?	15
0x1c738e0	53	latin-1	Metal Gear is one of the most secret|black projects!	Metal Gear eh um dos projetos negros|mais secretos!	52
0x1c73928	22	shift_jis	How did you know that?	Como vc soube disso?	22
0x1c73950	43	latin-1	We've had a couple of run-ins|in the past.	Ja tivemos alguns encontros|no passado.	40
0x1c7398c	58	latin-1	So that's the reason you were here|at this disposal site?	Essa eh a razao de vc estar aqui|neste local de descarte?	66
0x1c739d8	57	latin-1	Why else would I come to a|God forsaken place like this.	Pq mais eu viria p/ um|lugar abandonado como este.	54
0x1c73a24	49	latin-1	I had heard the Metal Gear project|was scrapped.	Ouvi dizer que o projeto Metal Gear|foi cancelado.	49
0x1c73a68	16	shift_jis	On the contrary,	Pelo contrario,	15
0x1c73a8c	69	latin-1	it's grown into a huge joint project|between ArmsTech and ourselves.	cresceu e se tornou um grande projeto conjunto|entre ArmsTech e nos.	70
0x1c73ae4	50	latin-1	We were going to use this exercise|as raw data...	Iamos usar este exercicio|como dados brutos..	45
0x1c73b28	36	shift_jis	and then proceed to mass production.	e depois partir p/ producao em massa.	38
0x1e128f8	39	shift_jis	If it hadn't been for the revolution...	Se nao fosse pela revolucao..	29
0x1e12930	14	shift_jis	Revolution...?	Revolucao..?	12
0x1e12950	47	latin-1	Rex has fallen into the hands of|terrorists...	Rex caiu nas maos dos|terroristas..	38
0x1e12990	4	shift_jis	Rex?	Rex?	4
0x1e129a8	15	shift_jis	Metal Gear Rex.	Metal Gear Rex.	15
0x1e129c8	48	latin-1	The code name for the new Metal Gear|prototype.	O nome codigo do novo prototipo|Metal Gear.	45
0x1e12a0c	53	latin-1	They're probably already finished|arming the warhead	Eles provavelmente ja terminaram|de armar a ogiva	52
0x1e12a54	26	shift_jis	they plan to use with Rex.	que planejam usar com o Rex.	28
0x1e12a80	20	shift_jis	These guys are pros.	Esses caras sao bons..	30
0x1e12aa8	59	latin-1	They're all experienced in handling|and equipping weapons.	Todos tem experiencia em manusear|e equipar armas.	50
0x1e12af4	4	shift_jis	Hey!	Ei!	3
0x1e12b0c	24	shift_jis	Shut up in there willya!	Cala a boca ai!	15
0x1e12b38	59	latin-1	But I thought that all nuclear|warheads were equipped with	Mas pensei que todas as ogivas|tinham medidas de seguranca.	68
0x1e12b84	16	shift_jis	safety measures.	Medidas de seguranca	21
0x1e12ba8	55	latin-1	Some kind of detonation code|that you have to input...	Tipo um codigo de detonacao|que vc tem que inserir	60
0x1e12bf0	17	shift_jis	Oh, you mean PAL.	Vc quer dizer PAL.	24
0x1e12c14	31	shift_jis	Yes, of course, there is a PAL.	Sim, claro, ha um PAL.	22
0x1e12c44	62	latin-1	It's set up so that you need to input|two different passwords	Esta configurado p/ precisar inserir|duas senhas diferentes	66
0x1e12c94	30	shift_jis	in order to launch the device.	p/ lancar o dispositivo.	24
0x1e12cc4	24	shift_jis	There are two passwords?	Existem duas senhas?	21
0x1e12d08	32	shift_jis	Baker knows one, and I know one.	Baker conhece uma, e eu conheco uma.	36
0x1e12d3c	34	latin-1	Baker?|The president of ArmsTech?	Baker?|O presidente da ArmsTech?	32
0x1e12d70	13	shift_jis	That's right.	Isso mesmo.	12
0x1e12d90	38	shift_jis	Each of us needs to input our password	Cada um de nos precisa inserir sua senha	42
0x1e12dc8	26	shift_jis	or there can be no launch.	ou nao pode haver lancamento	29
0x1e12df4	6	shift_jis	But...	Mas..	6
0x1e12e0c	27	shift_jis	They found out my password.	Eles descobriram minha senha	29
0x1e12e38	11	shift_jis	You talked?	Vc falou?	12
0x1e12e54	38	shift_jis	Psycho Mantis can read people's minds.	Mantis pode ler a mente das pessoas	43
0x1e12e8c	17	shift_jis	You can't resist.	Vc nao pode resistir	23
0x1e12eb0	14	shift_jis	Psycho Mantis?	Psycho Mantis?	14
0x1e12ed0	56	latin-1	One of the members of FOX-HOUND.|He has psychic powers.	Um dos membros do FOX-HOUND.|Ele tem poderes psiquicos.	56
0x1e12f1c	17	shift_jis	...This is bad...	..Isso eh ruim..	16
0x1e12f40	58	latin-1	It's just a matter of time before|they get Baker's too...	Eh so questao de tempo ate|conseguirem a do Baker tbm..	55
0x22fc90c	36	shift_jis	If they find out Baker's password...	Se descobrirem a senha do Baker..	33
0x22fc95c	42	latin-1	They'll be able to launch a nuke|anytime.	Poderao lancar uma ogiva|a qualquer momento	44
0x22fc998	41	latin-1	But...there is a way|to stop the launch.	Mas..ha uma maneira|de parar o lancamento.	43
0x22fc9d4	5	shift_jis	What?	Oque?	5
0x22fc9ec	14	shift_jis	The card keys.	Os cartoes-chave	17
0x22fca0c	10	shift_jis	Card keys?	Chaves?	15
0x22fca28	55	latin-1	They were designed by ArmsTech,|the system developers,	Foram projetados pela ArmsTech|que projetou do sistema,	62
0x22fca70	25	shift_jis	as an emergency override.	como uma acao de emergencia.	32
0x22fca9c	62	latin-1	Even without the passwords,|you can just insert the card keys	Mesmo sem as senhas,|vc pode simplesmente inserir os cartoes	66
0x22fcaec	29	shift_jis	and engage the safety lock...	e ativar a trava de seguranca..	33
0x22fcb1c	17	shift_jis	And if I do that?	E se eu fizer isso?	18
0x22fcb40	4	shift_jis	Yes.	Sim.	4
0x22fcb58	24	shift_jis	You can stop the launch.	Vc pode parar o lancamento.	28
0x22fcb84	17	shift_jis	That card key...?	Aquelas chaves?	20
0x22fcba8	23	shift_jis	So, where are the keys?	Entao cade essas chaves?	28
0x22fcbd0	23	shift_jis	Baker should have them.	Baker deveria te-las.	21
0x22fcbf8	34	latin-1	Listen.|You need three card keys.	Escute.|Vc precisa de tres chaves.	41
0x22fcc2c	48	latin-1	There are three different slots|to put them in.	Ha tres slots diferentes|p/ coloca-los.	40
0x22fcc70	49	latin-1	You need to insert a card|into each one of them.	Vc precisa inserir um cartao|em cada um deles.	50
0x22fccb4	20	shift_jis	OK, three card keys.	Ok, tres cartoes chave.	23
0x22fccdc	47	latin-1	Do you know where they might|be keeping Baker?	Vc sabe onde podem|estar mantendo o Baker?	45
0x22fcd1c	36	shift_jis	Somewhere in the 2nd floor basement.	Em algum lugar no porao do 2o andar.	36
0x22fcd54	19	shift_jis	2nd floor basement?	Porao do 2o andar?	18
0x22fcd78	51	latin-1	I heard the guard say|they moved him to an area...	Ouvi o guarda dizer|que o moveram p/ uma area..	52
0x22fcdbc	38	latin-1	that has a lot of electronic|jamming.	que tem muito|bloqueio eletronico.	34
0x22fcdf4	16	shift_jis	Any other clues?	Outras pistas?	14
0x22fce18	40	latin-1	Yes...they cemented over|the entrances,	Sim..eles cimentaram|as entradas,	35
0x22fce54	43	latin-1	but didn't have enough time to|paint them.	mas nao tiveram tempo de|pinta-las.	47
0x22fce90	32	shift_jis	Why don't you look for the areas	Pq vc nao procura pelas areas	32
0x22fcec4	39	latin-1	where the walls are|a different color?	onde as paredes tem|uma cor diferente?	38
0x22fcefc	33	shift_jis	Here, take this. It's my ID card.	Pegue isso. Eh meu cartao de ID	37
0x22fcf30	40	latin-1	It'll open any level one|security door.	Vai abrir qualquer porta de|nivel um.	47
0x22fcf6c	23	shift_jis	It's called a PAN card.	E chamado de cartao PAN.	24
0x22fcf94	57	latin-1	It works together with your|body's own electrical field.	Funciona junto com o|campo eletrico do seu corpo.	52
0x22fcfe0	27	shift_jis	Personal Area Network, huh?	Personal Area Network, ne?	26
0x22fd00c	75	latin-1	It transmits data using the salts in your|body as the transmission medium.	Transmite dados usando os sais do seu|corpo como meio de transmissao.	70
0x22fd068	45	latin-1	As you approach the door's security|devices,	Quando vc se aproxima|da porta,	60
0x22fd0a8	44	latin-1	they'll read the data stored|in the card...	eles vao ler os dados armazenados|no cartao..	46
0x22fd0e8	47	latin-1	And the doors will open|automatically. Gotcha.	E as portas vao abrir|automaticamente. Entendi.	48
0x28380e4	35	latin-1	OK.|I'm gonna get you out of here.	Ok.|Vou te tirar daqui.	22
0x2838118	14	shift_jis	Wait a minute.	Espere um minuto	16
0x2838138	11	shift_jis	What is it?	Oque foi?	9
0x2838154	6	shift_jis	You...	Vc..	7
0x283816c	57	latin-1	haven't heard any other way to|disarm the PAL, have you?	nao ouviu nenhuma outra maneira de|desarmar o PAL, ouviu?	58
0x28381b8	27	shift_jis	From your bosses or anyone.	Dos seus chefes ou de outros	31
0x28381e4	3	shift_jis	No.	Nao	3
0x28381f8	41	latin-1	Are you sure you haven't heard|anything?	Tem certeza que nao ouviu|nada?	32
0x2838234	15	shift_jis	I just said no.	Ja disse que nao	23
0x2838254	69	latin-1	So, does the White House plan to|give in to the terrorist's demands?	Entao, a Casa Branca planeja|ceder as demandas dos terroristas?	65
0x28382ac	21	shift_jis	That's their problem.	Esse eh o problema deles	24
0x28382d4	37	latin-1	It has nothing to do with|my orders.	Nao tem nada a ver com|minhas ordens.	38
0x283830c	32	latin-1	But...|what about the Pentagon?	Mas..|e o Pentagono?	19
0x2838340	9	shift_jis	Pentagon?	Pentagono?	10
0x283835c	19	shift_jis	....Nnnnnnngggghhh!	...Nnnnnnngggghhh!	18
0x2838380	12	shift_jis	What is it!?	O que foi!?	11
0x28383a0	9	shift_jis	Ww...why?	Ppp..pq?	9
0x28383bc	16	shift_jis	Uuuuuugggghhhh!!	Uuuuuugggghhhh!!	16
0x28383e0	13	shift_jis	What's that!?	O que eh isso?	14
0x2838400	19	shift_jis	Hey! What happened!	Ei! O que aconteceu!	20
0x2838424	7	shift_jis	Hmmm...	Hmmm..	7
0x283843c	7	shift_jis	Dead...	Morto..	8
0x2b67148	11	shift_jis	Don't move!	Nao se mova!	13
0x2b67164	41	latin-1	So you killed the Chief.|You bastard...!	Entao vc matou o Chefe.|Seu bastardo..!	44
0x2b671a0	26	latin-1	Liquid!?|No...you're not.	Liquid!?|Nao.. nao eh vc	27
0x2b671cc	13	shift_jis	Don't move!!!	Nao se mova!!!	15
0x2b671ec	59	latin-1	Is this the first time you ever|pointed a gun at a person?	E a primeira vez que vc aponta|uma arma p/ uma pessoa?	58
0x2b67238	23	shift_jis	Your hands are shaking.	Suas maos estao tremendo	25
0x2b67274	25	shift_jis	Can you shoot me, rookie?	Consegue me atirar, novato?	27
0x2b672a0	24	shift_jis	Careful, I'm no rookie!!	Cuidado, eu nao sou novato!!	28
0x2b672cc	60	latin-1	Liar! That nervous glance...|that scared look in your eyes.	Mentiroso! Esse olhar nervoso..|.. assustado nos seus olhos	71
0x2b6731c	42	latin-1	They're rookie's eyes if I ever|saw them.	Sao olhos de novato se eu|ja vi algum.	40
0x2b67358	40	latin-1	You've never shot a person,|am I right?	Vc nunca atirou numa pessoa,|estou certo?	45
0x2b67394	18	shift_jis	You talk too much.	Vc fala demais.	17
0x2b673b8	48	latin-1	You haven't even taken the safety| off, rookie.	Vc nem tirou a trava de seguranca,|novato.	46
0x2b673fc	27	shift_jis	I told you I'm no rookie!!!	Eu disse que nao sou novato!	31
0x2b67428	32	shift_jis	You're not one of them, are you?	Vc nao e um deles, e?	24
0x2b6745c	15	shift_jis	Open that door!	Abra essa porta!	16
0x2b6747c	29	shift_jis	You've got a card, don't you?	Vc tem um cartao, nao tem?	30
0x2b674ac	4	shift_jis	Why?	Pq?	3
0x2b674c4	36	latin-1	So we can get the hell out of|here.	P/ podermos sair|daqui.	24
0x2b674fc	38	latin-1	Looks like we'll be a little|delayed.	Parece que vamos atrasar|um pouquinho.	40
0x2b67534	19	shift_jis	What're you doing!?	O que vc ta fazendo?	26
0x2b67558	12	shift_jis	Don't think!	Nao pense!	11
0x2b67578	6	shift_jis	Shoot!	Atire!	6
0x2f191c0	11	shift_jis	Don't move!	Nao se mova!	13
0x2f191dc	41	latin-1	So you killed the Chief.|You bastard...!	Entao vc matou o Chefe.|Seu bastardo..!	44
0x2f19218	26	latin-1	Liquid!?|No...you're not.	Liquid!?|Nao.. nao eh vc	27
0x2f19244	13	shift_jis	Don't move!!!	Nao se mova!!!	15
0x2f19264	59	latin-1	Is this the first time you ever|pointed a gun at a person?	E a primeira vez que vc aponta|uma arma p/ uma pessoa?	58
0x2f192b0	23	shift_jis	Your hands are shaking.	Suas maos estao tremendo	25
0x2f192ec	25	shift_jis	Can you shoot me, rookie?	Consegue me atirar, novato?	27
0x2f19318	24	shift_jis	Careful, I'm no rookie!!	Cuidado, eu nao sou novato!!	28
0x2f19344	60	latin-1	Liar! That nervous glance...|that scared look in your eyes.	Mentiroso! Esse olhar nervoso..|.. assustado nos seus olhos	71
0x2f19394	42	latin-1	They're rookie's eyes if I ever|saw them.	Sao olhos de novato se eu|ja vi algum.	40
0x2f193d0	40	latin-1	You've never shot a person,|am I right?	Vc nunca atirou numa pessoa,|estou certo?	45
0x2f1940c	18	shift_jis	You talk too much.	Vc fala demais.	17
0x2f19430	48	latin-1	You haven't even taken the safety| off, rookie.	Vc nem tirou a trava de seguranca,|novato.	46
0x2f19474	27	shift_jis	I told you I'm no rookie!!!	Eu disse que nao sou novato!	31
0x2f194a0	32	shift_jis	You're not one of them, are you?	Vc nao e um deles, e?	24
0x2f194d4	15	shift_jis	Open that door!	Abra essa porta!	16
0x2f194f4	29	shift_jis	You've got a card, don't you?	Vc tem um cartao, nao tem?	30
0x2f19524	4	shift_jis	Why?	Pq?	3
0x2f1953c	36	latin-1	So we can get the hell out of|here.	P/ podermos sair|daqui.	24
0x2f19574	38	latin-1	Looks like we'll be a little|delayed.	Parece que vamos atrasar|um pouquinho.	40
0x2f195ac	19	shift_jis	What're you doing!?	O que vc ta fazendo?	26
0x2f195d0	12	shift_jis	Don't think!	Nao pense!	11
0x2f195f0	6	shift_jis	Shoot!	Atire!	6
0x33158bc	20	shift_jis	Thanks for the help.	Obrigada pela ajuda.	20
0x33158e4	5	shift_jis	Wait!	Espere!	7
0x33158fc	13	shift_jis	Who are you!?	Quem e vc!?	14
0x33b80e4	9	shift_jis	You fool!	Seu idiota!	12
0x33b8100	19	shift_jis	You've killed him!!	Vc o matou!!	14
0x33b8124	15	shift_jis	I'm sorry, Sir.	Me desculpe, sr.	19
0x33b8144	41	latin-1	...His mental shielding was|very strong.	A protecao mental dele era|muito forte.	42
0x33b8180	30	shift_jis	I couldn't dive into his mind.	N consegui entrar na mente dele	35
0x33b81b0	44	latin-1	Now we'll never get that|detonation code...	Agora nunca conseguiremos|aquele codigo de detonacao	53
0x33b81f0	25	shift_jis	Boss, I have a good idea.	Chefe, tenho uma boa ideia.	28
0x34b78d0	8	shift_jis	Uuufff!!	Uuufff!!	8
0x34b78ec	7	shift_jis	Damn...	Droga..	7
0x34b7904	28	shift_jis	Good girl. Just like that...	Boa garota. Assim mesmo..	26
0x36678e4	14	shift_jis	Am I too late?	Cheguei tarde?	19
0x3667904	11	shift_jis	Oooooo.....	Oooooo....	11
0x3667920	13	shift_jis	Huhuuhuhuh...	Huhuuhuhuh..	13
0x3667940	13	shift_jis	He's alive...	Ele esta vivo..	16
0x3667960	53	latin-1	You're the ArmsTech president,|Kenneth Baker, right?	Vc e o presidente da ArmsTech,|Kenneth Baker, certo?	55
0x36679a8	34	shift_jis	Don't worry, I'm here to save you.	Nao se preocupe, eu vim salvar vc.	42
0x36679dc	25	latin-1	Noooo!|Don't touch it...	Naaaao!|Nao toque nisso..	27
0x3667a20	25	shift_jis	Right. Touch that wire...	Certo. Toque nesse fio..	24
0x3667a4c	48	latin-1	and the C4 will blow up|along with the old man!	e o C4 vai explodir|junto com o velho!	42
0x3667a90	53	latin-1	So you're the one that the Boss|keeps talking about.	Entao vc e aquele de quem o Chefe|fica sempre falando.	59
0x3667ad8	8	shift_jis	And you?	E vc?	8
0x3667af4	31	shift_jis	Special Operations FOX-HOUND...	Operacoes Especiais FOX-HOUND..	32
0x3667b24	16	shift_jis	Revolver Ocelot.	Revolver Ocelot.	16
0x3667b48	40	latin-1	I've been waiting for you,|Solid Snake.	Estive esperando por vc,|Solid Snake.	42
0x3667b84	52	latin-1	Now we'll see if the man can|live up to the legend!	Agora vamos ver se o homem pode|fazer jus a lenda!	54
0x3667bcc	40	latin-1	This is the greatest handgun|ever made.	Esta eh a maior pistola|ja feita.	33
0x3667c08	28	shift_jis	The Colt Single Action Army.	A Colt Single Action Army.	27
0x3667c38	12	shift_jis	Six bullets.	Seis balas.	11
