id	encoding	offset	tamanho_bytes	texto	texto_traduzido	tamanho_bytes_traduzido	diferenca_bytes	tem_overflow	percentual_diferenca
3361	shift_jis	0xaf50884	107	You caught a cold Snake? In battle you need to be in top physical condition. Do you have any cold medicine?	Vc pegou um resfriado Snake? Na batalha vc precisa estar em condicao fisica perfeita. Tem algum remedio pra resfriado?	118	11	True	10.3
3376	shift_jis	0xb051974	81	It may look pretty at first but it'll severely limit your visibility. Be careful.	Pode parecer bonito a principio mas vai limitar severamente sua visibilidade. Seja cuidadoso	92	11	True	13.6
896	shift_jis	0x218ca88	60	Okay, so we'll meet at the nuclear warhead storage building!	Certo, nos encontramos no predio de armazenamento de ogivas nucleares!	70	10	True	16.7
304	latin-1	0x90ab44	66	they must have been interviewed|periodically by army counselors...	eles devem ter sido entrevistados|periodicamente por conselheiros militares.	76	10	True	15.2
359	latin-1	0xaadce4	33	After you retired,|he was rescued	Depois q vc se aposentou,|ele foi resgatado	43	10	True	30.3
561	shift_jis	0x10b835c	86	This is Mei Ling. She was assigned to us as our visual and data processing specialist.	Esta eh a Mei Ling. Ela foi designada como nossa especialista em processamento visual e de dados	96	10	True	11.6
789	shift_jis	0x1c075b8	67	This base is owned and operated by a dummy corporation of ArmsTech.	Esta base eh de propriedade e operada por uma corporacao fantasma da ArmsTech	77	10	True	14.9
808	shift_jis	0x1c07ad8	48	Anyway, you met Baker, huh? How's he holding up?	Enfim, vc conheceu o Baker, neh? Como ele esta aguentando?	58	10	True	20.8
1136	shift_jis	0x2d4d9a8	60	You trying to say I'm only interested in saving my own skin?	Vc esta tentando dizer q so me interesso em salvar minha propria pele?	70	10	True	16.7
1791	shift_jis	0x527c914	45	Take a look around in First Person View Mode.	De uma olhada ao redor no Modo Visao em Primeira Pessoa	55	10	True	22.2
1874	shift_jis	0x56e2c00	116	I'm sorry. The radio waves were too weak to locate their source. But I'm sure he's near you...somewhere on the base.	Sinto muito. As ondas de radio estao fracas pra localizar a origem. Mas tenho certeza q ele esta perto..em algum lugar da base	126	10	True	8.6
1889	shift_jis	0x57d3b24	82	They just leave them here? It's just like President Baker said...totally careless.	Eles simplesmente deixam elas aqui? Eh igual o Presidente Baker disse..totalmente descuidado	92	10	True	12.2
1994	shift_jis	0x5cbcb64	65	So he was sort of infected by this serial murderer's thoughts?...	Entao ele foi meio q infectado pelos pensamentos deste assassino em serie?.	75	10	True	15.4
2037	shift_jis	0x5f6c0d8	45	Sniper Wolf is Fox Hound's best sharpshooter.	Sniper Wolf eh a melhor atiradora de elite da Fox Hound	55	10	True	22.2
2106	shift_jis	0x62890c4	130	Snake, the launch deadline for the new nuclear warhead is almost here. Hurry and get to Metal Gear's underground maintenance base!	Snake, o prazo limite de lancamento da nova ogiva nuclear esta quase aqui. Se apresse e va pra base subterranea de manutencao do Metal Gear!	140	10	True	7.7
2114	shift_jis	0x630a070	57	Use your throw move on the bad guys that are chasing you!	Use seu movimento de arremesso nos bandidos q estao te perseguindo!	67	10	True	17.5
2124	shift_jis	0x635c97c	93	Snake, I'm monitoring you closely. Your heart rate is elevated and your breathing is shallow.	Snake, estou te monitorando de perto. Sua frequencia cardiaca esta elevada e sua respiracao superficial	103	10	True	10.8
2189	shift_jis	0x66c9078	68	Snake, you can't fight what you can't see. Use your Thermal Goggles!	Snake, vc nao pode lutar contra oq nao consegue ver. Use seus Oculos Termicos!	78	10	True	14.7
2256	shift_jis	0x69888a4	108	Too much harmonic resonance. The radio waves produce interference and we can't analyze the topographic data.	Muita ressonancia harmonica. As ondas de radio produzem interferencia e nao conseguimos analisar os dados topograficos	118	10	True	9.3
2278	shift_jis	0x6a8dc20	70	But he was used like a tool...used to make a horrible killing machine.	Mas ele foi usado como ferramenta..usado pra fazer uma maquina de matar horrivel	80	10	True	14.3
2360	latin-1	0x6f580bc	110	In Paradise Lost, Milton wrote: 'Solitude sometimes is best society, And short retirement urges sweet return.'	Em Paraiso Perdido, Milton escreveu: 'Solidao as vezes eh melhor sociedade, E breve aposentadoria instiga doce retorno.'	120	10	True	9.1
2438	shift_jis	0x73bc4ec	48	So your radar shows what's really going on, huh?	Entao seu radar mostra oq realmente esta acontecendo, neh?	58	10	True	20.8
2532	shift_jis	0x7a33350	106	It can move freely over any terrain and independently launch a nuclear missile at any target in the world.	Pode se mover livremente por qualquer terreno e independentemente lancar um missil nuclear em qualquer alvo do mundo	116	10	True	9.4
2623	shift_jis	0x81641e0	128	When Dr. Emmerich designed the new Metal Gear prototype, he thought he was creating a mobile TMD system. He is a very naive man.	Quando o Dr. Emmerich projetou o novo prototipo Metal Gear ele pensou q estava criando um sistema TMD movel. Ele eh um homem muito ingenuo	138	10	True	7.8
2668	latin-1	0x849ba80	130	"There was some talk about both sides reducing their nuclear stockpiles to a ""core deterrent force"" of less than 500 missiles each,"	"Houve alguma conversa sobre ambos os lados reduzirem seus arsenais nucleares pra uma ""forca dissuasiva central"" de menos de 500 misseis cada"	140	10	True	7.7
2741	latin-1	0x8a215d8	103	"Some people think that this type of radioactive contamination is what is behind the ""Gulf War Syndrome"""	"Algumas pessoas acham q esse tipo de contaminacao radioativa eh oq esta por tras da ""Sindrome da Guerra do Golfo"""	113	10	True	9.7
2743	shift_jis	0x8ade928	107	They are currently doing research to find ways to transform minor actinoids such as Americium and Neptunium	Eles estao atualmente fazendo pesquisa pra encontrar formas de transformar actinoides menores como Americio e Netunio	117	10	True	9.3
2756	shift_jis	0x8ba81d0	86	As long as nuclear weapons exist we have the sword of Damocles hanging over our heads.	Enquanto armas nucleares existirem nos temos a espada de Damocles pendurada sobre nossas cabecas	96	10	True	11.6
2863	shift_jis	0x938cb04	133	The superpowers need to donate more mine detectors and other equipment to remove them. It is the least we could do after laying them.	As superpotencias precisam doar mais detectores de minas e outros equipamentos pra remove-las. Eh o minimo q podemos fazer depois de planta-las	143	10	True	7.5
2873	shift_jis	0x9455a28	84	If you can jam the system and get close enough it won't be able to use its main gun.	Se vc conseguir bloquear o sistema e chegar perto ele nao conseguira usar seu canhao principal	94	10	True	11.9
2950	shift_jis	0x99b189c	110	That was a close one. I didn't think they would go so far as to booby trap your equipment. ...sneaky bastards.	Essa foi por pouco. Nao pensei q iriam tao longe a ponto de armar armadilhas no seu equipamento. ..bastardos traicoeiros	120	10	True	9.1
2971	shift_jis	0x9b24984	102	That Hind is a monster. You have only a small chance to win but at least it's better than no chance...	Aquele Hind eh um monstro. Vc tem apenas uma pequena chance de vencer mas pelo menos eh melhor q chance nenhuma.	112	10	True	9.8
3123	shift_jis	0xa280188	49	Probably somewhere close by. He's just invisible.	Provavelmente em algum lugar por perto. Ele eh so invisivel	59	10	True	20.4
3161	shift_jis	0xa42b1c8	49	I was wondering when you'd ask. What should I do?	Estava me perguntando quando vc perguntaria. Oq devo fazer?	59	10	True	20.4
3379	shift_jis	0xb0819a4	96	To survive in such surroundings you have to be strong enough to not rely on God nor anyone else.	Pra sobreviver em tais ambientes vc tem q ser forte o suficiente pra nao depender de Deus nem ninguem mais	106	10	True	10.4
3413	shift_jis	0xb3198b4	89	That inner voice that warns you when danger is nearby...you can't learn that in training.	Aquela voz interior q te avisa quando o perigo esta perto..vc nao pode aprender isso no treinamento	99	10	True	11.2
795	shift_jis	0x1c07738	73	Because they're a Special Ops group used to handling top secret missions.	Pq eles sao um grupo de Operacoes Especiais acostumados com missoes ultrassecretas	82	9	True	12.3
2058	shift_jis	0x60359a4	80	Could be. Let's ask Wolf. If she's still alive, I'm going to get some answers...	Pode ser. Vamos perguntar pra Wolf. Se ela estiver viva, vou conseguir algumas respostas.	89	9	True	11.2
36	latin-1	0x4078	33	led by members of|Unit FOX-HOUND.	lideradas por membros da|Unidade FOX-HOUND	42	9	True	27.3
122	latin-1	0x346400	65	The safety control system built|into all nuclear weapons systems.	O sistema de controle de seguranca|integrado a todos os sistemas nucleares	74	9	True	13.8
175	shift_jis	0x52d8e4	34	One of the greatest soldiers ever?	Um dos maiores soldados de todos os tempos?	43	9	True	26.5
186	shift_jis	0x52dbc4	29	His body was burned severely,	O corpo dele foi queimado severamente,	38	9	True	31.0
215	latin-1	0x64728c	50	with his top aides in the Map Room|about now, huh?	com seus principais assessores na Sala|de Mapas agora, neh?	59	9	True	18.0
231	latin-1	0x64761c	45	I'm starting to get a bad|feeling about this.	Estou comecando a ter um mau|pressentimento sobre isso	54	9	True	20.0
340	shift_jis	0x9e9c88	25	FOX-HOUND's squad leader,	o lider do esquadrao da FOX-HOUND,	34	9	True	36.0
1120	shift_jis	0x2d4d510	57	Sniper usually works in pairs, but this one's alone, huh.	Snipers geralmente trabalham em duplas, mas este esta sozinho, neh	66	9	True	15.8
1303	shift_jis	0x35f45b8	39	'Need to know basis', is that the idea?	'Base de necessidade de saber', eh essa a ideia?	48	9	True	23.1
1788	latin-1	0x52550bc	119	There must be some other way to get in. Take a look around. The best way to do that is to use 'First Person View Mode'.	Deve haver outro jeito de entrar. De uma olhada ao redor. O melhor jeito de fazer isso eh usar o 'Modo Visao em Primeira Pessoa'	128	9	True	7.6
1794	shift_jis	0x52a812c	51	before the terrorists find out his detonation code.	antes dos terroristas descobrirem o codigo de detonacao dele	60	9	True	17.6
1824	shift_jis	0x540bc2c	82	He's a gun fanatic and totally obsessed with cowboy movies and spaghetti westerns.	Ele eh fanatico por armas e totalmente obcecado com filmes de faroeste e spaghetti westerns	91	9	True	11.0
1876	shift_jis	0x57570a4	62	Snake, look out for that tank's main gun. It'll pulverise you.	Snake, cuidado com o canhao principal daquele tanque. Vai te pulverizar	71	9	True	14.5
1919	shift_jis	0x599f944	52	Snake! Emmerich's in danger! Hurry and go after him!	Snake! O Emmerich esta em perigo! Se apresse e va atras dele!	61	9	True	17.3
1946	shift_jis	0x5a85518	63	Snake, either way I want you to find Meryl as soon as possible.	Snake, de qualquer forma quero q encontre a Meryl o mais rapido possivel	72	9	True	14.3
2007	shift_jis	0x5dc6178	60	Snake, is there some reason you can't use Controller port 2?	Snake, ha alguma razao pela qual nao pode usar a porta de Controle 2?	69	9	True	15.0
2084	shift_jis	0x61718d4	47	They're probably being kept somewhere close by.	Provavelmente estao sendo guardados em algum lugar perto	56	9	True	19.1
2200	shift_jis	0x674a078	71	Snake, you're our only hope. Please stop them from launching that nuke.	Snake, vc eh nossa unica esperanca. Por favor impeca eles de lancar aquela bomba	80	9	True	12.7
2255	shift_jis	0x697c874	54	Sorry. The Soliton radar won't work in a narrow space.	Desculpe. O radar Soliton nao vai funcionar num espaco estreito	63	9	True	16.7
2420	shift_jis	0x72b9d48	75	You should be having fun...playing real video games instead of playing war.	Vc deveria estar se divertindo..jogando videogames reais em vez de brincar de guerra	84	9	True	12.0
2436	shift_jis	0x73bc434	47	So is that why you developed your radar system?	Entao eh por isso q vc desenvolveu seu sistema de radar?	56	9	True	19.1
2473	shift_jis	0x765c134	53	The most important thing is to zero your rifle scope.	A coisa mais importante eh zerar sua mira telescopica do rifle	62	9	True	17.0
2498	shift_jis	0x782a958	115	Over 200 tons of plutonium and over 1,000 tons of high grade uranium have been removed from nuclear weapons so far.	Mais de 200 toneladas de plutonio e mais de 1k toneladas de uranio de alto grau foram removidas de armas nucleares ate agora	124	9	True	7.8
2506	shift_jis	0x788dbc4	73	...wherever. But you are the real expert on Metal Gear, aren't you Snake?	..qualquer lugar. Mas vc eh o verdadeiro especialista em Metal Gear, nao eh Snake?	82	9	True	12.3
2513	latin-1	0x79408e8	98	PAL stands for 'permissive action link.' It's a safety system attached to nuclear missile systems.	PAL significa 'link de acao permissiva.' Eh um sistema de seguranca anexado a sistemas de misseis nucleares	107	9	True	9.2
2531	shift_jis	0x7a33308	53	Metal Gear was developed to solve all those problems.	Metal Gear foi desenvolvido pra resolver todos esses problemas	62	9	True	17.0
2688	shift_jis	0x861c31c	147	Nukes are steadily proliferating. The 21st century is paying for the 20th century's failure to plug the holes in the NPT (Non-Proliferation Treaty)	Armas nucleares estao proliferando constantemente. O seculo 21 esta pagando pela falha do seculo 20 em tapar os buracos no TNP (Tratado de Nao-Proliferacao)	156	9	True	6.1
2765	shift_jis	0x8c8698c	135	...a preemptive nuclear strike may be undertaken if there is a sufficient threat of a regional conflict spreading to a large-scale war.	..um ataque nuclear preventivo pode ser empreendido se ha ameaca suficiente de um conflito regional se espalhando pra uma guerra em larga escala	144	9	True	6.7
2766	shift_jis	0x8c86a24	98	In the face of all this NATO expansion Russia might feel the need to flex their nuclear muscles...	Diante de toda essa expansao da OTAN a Russia pode sentir necessidade de flexionar seus musculos nucleares.	107	9	True	9.2
2840	shift_jis	0x92311ac	117	That is C4 explosive. A plastic explosive with a texture similar to clay so you can shape in almost any way you want.	Esse eh explosivo C4. Um explosivo plastico com textura similar a argila entao vc pode moldar de quase qualquer jeito q quiser	126	9	True	7.7
2872	shift_jis	0x94559cc	73	To get close you'll have to confuse it's tracking system. Use your Chaff.	Pra chegar perto vc vai ter q confundir seu sistema de rastreamento. Use seu Chaff	82	9	True	12.3
2903	shift_jis	0x9682a2c	45	He is a true cyborg... a cybernetic organism.	Ele eh um verdadeiro cyborg.. um organismo cibernetico	54	9	True	20.0
2956	shift_jis	0x9a370a4	58	To beat that Hind you need a SAM a surface to air missile.	Pra vencer aquele Hind vc precisa de um SAM um missil superficie-ar	67	9	True	15.5
2957	shift_jis	0x9a370f4	80	You cannot shoot it down with just small arms fire. If only you had a Stinger...	Vc nao pode derruba-lo com apenas fogo de armas pequenas. Se ao menos tivesse um Stinger.	89	9	True	11.2
3131	shift_jis	0xa2ee97c	106	Mantis had incredible power...fantastic power. Maybe that power could have been used to make people happy.	Mantis tinha poder incrivel..poder fantastico. Talvez aquele poder pudesse ter sido usado pra fazer pessoas felizes	115	9	True	8.5
3136	shift_jis	0xa33c198	41	But those dogs are just innocent animals.	Mas aqueles cachorros sao apenas animais inocentes	50	9	True	22.0
3393	shift_jis	0xb1ad074	53	People sometimes panic in the dark. Try to stay cool.	Pessoas as vezes entram em panico no escuro. Tente ficar calmo	62	9	True	17.0
3404	shift_jis	0xb25f110	139	You never know when a long demo is about to begin so make sure you're prepared to sit in front of the monitor for a long time if necessary.	Vc nunca sabe quando uma demo longa vai comecar entao certifique-se de estar preparado pra sentar na frente do monitor por muito tempo se necessario	148	9	True	6.5
3105	shift_jis	0xa1b9078	80	She said she was nearby so she may be somewhere in the Warhead Storage Building.	Ela disse q estava por perto, talvez em algum lugar no Predio de Armazenamento de Ogivas	88	8	True	10.0
1864	shift_jis	0x56b308c	46	A minefield, huh. You'll need a Mine Detector.	Um campo minado.. Vai precisar de um Detector de Minas	54	8	True	17.4
2049	shift_jis	0x5fe88a0	61	Yeah, but where can I find a sniper rifle? I can't ask Meryl.	Sim, mas onde posso encontrar um rifle? Nao posso perguntar pra Meryl	69	8	True	13.1
251	latin-1	0x7253a0	34	Seems like a million|miles away...	Parece estar a 1kk|de milhas de distancia.	42	8	True	23.5
1938	shift_jis	0x5a85244	69	Yeah. With that stealth camouflage, he should be able to hide safely.	Sim. Com a camuflagem furtiva, ele deveria conseguir se esconder em seguranca	77	8	True	11.6
2804	shift_jis	0x8f65180	78	Harasho...good! You found a SOCOM. That's a Special Operations Command Pistol.	Harasho..bom! Vc achou uma SOCOM. Ela eh uma Pistola de Comando de Operacoes Especiais	86	8	True	10.3
510	latin-1	0xe8dee8	46	Those nanomachines will|also keep your Codec's	Essas nanomaquinas tbm vao|manter as baterias do Codec	54	8	True	17.4
89	latin-1	0x1e4f74	49	As usual, this is a one-man|infiltration mission.	Como sempre, esta eh uma missao|de infiltracao individual	57	8	True	16.3
100	latin-1	0x2da238	37	Must be extremely|important exercises	Devem ser exercicios|extremamente importantes	45	8	True	21.6
174	shift_jis	0x51bb94	34	one of the greatest soldiers ever.	um dos maiores soldados de todos os tempos	42	8	True	23.5
208	shift_jis	0x612978	29	When did the countdown start?	Quando a contagem regressiva comecou?	37	8	True	27.6
244	latin-1	0x725238	49	She's built up an impressive|record as an advisor	Ela construiu um historico|impressionante como consultora	57	8	True	16.3
313	latin-1	0x90add8	49	Apparently, they consulted|classified information	Aparentemente, eles consultaram|informacoes classificadas	57	8	True	16.3
315	latin-1	0x90ae44	49	and performed their own|gene therapy experiments.	e realizaram seus proprios|experimentos de terapia genica	57	8	True	16.3
346	latin-1	0xaad9a0	40	He fought in the Gulf War|as a teenager,	Ele lutou na Guerra do Golfo|quando adolescente,	48	8	True	20.0
581	shift_jis	0x117c1e4	29	The red dots are your enemies	Os pontos vermelhos sao seus inimigos	37	8	True	27.6
858	shift_jis	0x1e43624	66	In a war, all of mankind's worst emotions...worst traits come out.	Numa guerra, todas as piores emocoes da humanidade..piores tracos aparecem	74	8	True	12.1
897	shift_jis	0x218cad8	49	Wait! You said you'd stay put and be a good girl!	Espere! Vc disse q ficaria quieta e seria uma boa menina!	57	8	True	16.3
941	shift_jis	0x2340868	15	Like old times?	Como nos velhos tempos?	23	8	True	53.3
1040	shift_jis	0x29a0094	35	You are extremely careful of traps.	Vc eh extremamente cuidadoso com armadilhas	43	8	True	22.9
1049	shift_jis	0x2a0d074	28	So you like adventure games?	Entao vc gosta de jogos de aventura?	36	8	True	28.6
1089	shift_jis	0x2b9d9f0	77	Now that Mantis is beaten, Meryl's brainwashing should wear off, right Naomi?	Agora q o Mantis foi derrotado, a lavagem cerebral da Meryl deve passar, certo Naomi?	85	8	True	10.4
1159	shift_jis	0x311ca20	32	the man who stole my birthright.	o homem q roubou meu direito de nascenca	40	8	True	25.0
1712	shift_jis	0x4d31934	50	So I can trick the enemy and lure him my way, huh.	Entao posso enganar o inimigo e atrai-lo pro meu lado, neh	58	8	True	16.0
1758	shift_jis	0x502007c	92	Watch out for that surveillance camera. You can probably jam it temporarily with your Chaff.	Cuidado com aquela camera de vigilancia. Provavelmente pode bloquea-la temporariamente com seu Chaff	100	8	True	8.7
1808	shift_jis	0x536b09c	120	The walls that were cemented over should look slightly different. Look at the walls carefully in First Person View Mode.	As paredes q foram cimentadas devem parecer um pouco diferentes. Olhe as paredes cuidadosamente no Modo Visao em Primeira Pessoa	128	8	True	6.7
1862	shift_jis	0x56a108c	42	Dr. Emmerich is probably being held there.	O Dr. Emmerich provavelmente esta sendo mantido la	50	8	True	19.0
1927	shift_jis	0x59c73e4	81	FOX-HOUND is intended to be a small number of highly elite, hand-picked soldiers.	A FOX-HOUND pretende ser um pequeno numero de soldados altamente elite, escolhidos a dedo	89	8	True	9.9
1934	shift_jis	0x5a5c080	87	He's fast! If you lose sight of him, switch to First Person View Mode and look for him.	Ele eh rapido! Se perder ele de vista, mude pro Modo Visao em Primeira Pessoa e procure por ele	95	8	True	9.2
1989	shift_jis	0x5ca18e8	107	You're seeing what he's seeing. It's a result of his telepathic powers. Maybe you can use that to find him!	Vc esta vendo oq ele esta vendo. Eh resultado dos poderes telepaticos dele. Talvez possa usar isso pra encontra-lo!	115	8	True	7.5
2004	shift_jis	0x5d84130	99	You've got to do something so he can't read your Controller's moves. Think! There must be some way!	Vc tem q fazer algo pra ele nao conseguir ler os movimentos do seu Controle. Pense! Deve haver algum jeito!	107	8	True	8.1
2069	shift_jis	0x60ce8f4	70	I plan on it. Next time I meet Ocelot, it's going to be on my terms...	Planejo fazer isso. Da proxima vez q encontrar o Ocelot, sera nos meus termos.	78	8	True	11.4
2160	shift_jis	0x6562a38	46	I hope everyone's enjoying the live broadcast?	Espero q todos estejam curtindo a transmissao ao vivo?	54	8	True	17.4
2186	shift_jis	0x66a90c0	87	They're using stealth camouflage! You can't see them, so listen closely. Use your ears.	Estao usando camuflagem furtiva! Vc nao pode ve-los, entao escute atentamente. Use seus ouvidos	95	8	True	9.2
2195	shift_jis	0x66efa58	55	What about a heat source? An exhaust pipe or something?	E quanto a uma fonte de calor? Um cano de escape ou algo assim?	63	8	True	14.5
2218	shift_jis	0x682807c	83	It looks like Wolf is down. Now get to Metal Gear's underground base on the double.	Parece q a Wolf esta fora de combate. Agora va pra base subterranea do Metal Gear rapidinho	91	8	True	9.6
2263	shift_jis	0x6a01878	87	I'm getting a bad feeling about this, Snake. Maybe you should let me save your mission.	Estou tendo um mau pressentimento sobre isso, Snake. Talvez devesse me deixar salvar sua missao	95	8	True	9.2
2270	shift_jis	0x6a610d8	57	And whatever's doing it is very close to you. Be careful!	E seja la oq esteja fazendo isso esta muito perto de vc. Cuidado!	65	8	True	14.0
2307	shift_jis	0x6c12144	52	No, I'm serious...like a premonition or something...	Nao, estou falando serio..como uma premonicao ou algo assim.	60	8	True	15.4
2309	shift_jis	0x6c31944	42	I've been through a lot worse. Believe me.	Ja passei por coisas muito piores. Acredite em mim	50	8	True	19.0
2319	shift_jis	0x6c742f4	44	Forget it...I'll use my own words this time.	Esqueca..vou usar minhas proprias palavras desta vez	52	8	True	18.2
2339	latin-1	0x6db98dc	99	Snake, like Shakespeare said: 'Nought's had, all's spent, Where our desire is got without content.'	Snake, como Shakespeare disse: 'Nada se tem, tudo se gasta, Onde nosso desejo eh obtido sem contentamento.'	107	8	True	8.1
2368	shift_jis	0x6ffe130	89	That means that when things get really bad, you have to try to remember what's important.	Isso significa q quando as coisas ficam realmente ruins, vc tem q tentar lembrar oq eh importante	97	8	True	9.0
2384	shift_jis	0x7110918	100	Snake. You caught a cold, didn't you? Don't you think you'd better take some cold medicine at least?	Snake. Vc pegou um resfriado, nao foi? Nao acha q seria melhor tomar algum remedio pra resfriado pelo menos?	108	8	True	8.0
2446	shift_jis	0x7447408	47	I don't get it. Anything can be done digitally.	Nao entendo. Qualquer coisa pode ser feita digitalmente	55	8	True	17.0
2612	shift_jis	0x801db58	53	...but that's nothing more than a flimsy cover story.	..mas isso nao eh nada mais q uma historia de cobertura fraca	61	8	True	15.1
2617	shift_jis	0x80b2a7c	95	That was the secret World War II project responsible for the creation of the first atomic bomb.	Esse foi o projeto secreto da Segunda Guerra Mundial responsavel pela criacao da primeira bomba atomica	103	8	True	8.4
2781	shift_jis	0x8cda964	78	We must rid this world of all nuclear weapons...before they cause more misery.	Nos devemos livrar esse mundo de todas as armas nucleares..antes q causem mais miseria	86	8	True	10.3
2850	shift_jis	0x92f00d4	99	He's using a Single Action Army? The first model of that gun was made in 1873...over 130 years ago.	Ele esta usando uma Single Action Army? O primeiro modelo dessa arma foi feito em 1873..ha mais de 130 anos	107	8	True	8.1
