id	offset	encoding	tamanho_bytes	texto	texto_traduzido	diferenca_bytes
19	0x436	latin-1	132	No. But there was no scenario where#NI had to work alone with a special#Nforces soldier against a group of#Nterrorists either.	Nao. Mas tbm nao havia cenario#Neu tivesse trabalhar sozinho com#Nsoldado forcas especiais contra#Ngrupo terroristas	-16
20	0x4be	latin-1	5	f!Ê÷;		-5
21	0x4c4	latin-1	94	In real life, things never go the way#Nyou expect them to...especially on#Na battlefield.	Na vida real, as coisas nunca saem#Ncomo esperamos..especialmente#Nnum campo de batalha	-7
22	0x52d	latin-1	144	I'm already holed up in the Warhead#NStorage Building. It looks like#NDr. Emmerich is still fine, but I'm not#Nsure for how much longer...	Ja estou entocado no Edificio de#NArmazenamento de Ogivas. Parece q o#NDr. Emmerich ainda ta bem, mas nao#Nsei por quanto tempo mais..	-10
23	0x5cd	shift_jis	5	!奉9ﾃ		-5
24	0x5d4	shift_jis	24	Hurry up this way, okay?	Se apresse por aqui ok?	-1
25	0x5f1	latin-1	12	0é11		-12
26	0x5ff	latin-1	16	zu0%?		-16
27	0x622	latin-1	11	é1111		-11
28	0x652	shift_jis	5	G奉9ﾃ		-5
29	0x659	latin-1	62	Deepthroat? No, I don't know anyone#Nwho calls himself that.	Deepthroat? Nao, nao conheco ninguem#Nque se chame assim	-6
30	0x6a2	shift_jis	8	I see...	Entendo	-1
31	0x6ae	shift_jis	5	.奉9ﾃ		-5
32	0x6b5	shift_jis	37	I wonder why he's trying to help you.	Me pergunto pq ele quer te ajudar	-4
33	0x6e5	shift_jis	15	I have no idea.	Nao faco ideia	-1
34	0x6fe	shift_jis	8	A trap?	Cilada?	2
35	0x70a	latin-1	5	G!Ê÷;		-5
36	0x711	latin-1	62	Could be. But for the time being,#NI'll have to trust him...	Pode ser. Mas por enquanto#Nvou ter q confiar nele..	-10
37	0x77c	latin-1	5	5!Ê÷;		-5
38	0x783	latin-1	44	Where are the remote controlled#Nmissiles?	Onde estao os misseis#Nteleguiados?	1
39	0x7e6	shift_jis	5	t奉9ﾃ		-5
40	0x7ec	latin-1	108	I think the remote controlled missiles#Nare on the 1st floor basement of the#NWarhead Storage Building.	Acho q os misseis controlados#Nremotamente estao no subsolo-1 do#NEdificio de Armazenamento de Ogivas	-7
41	0x864	latin-1	7	G1 1		-7
42	0x87d	shift_jis	5	b奉9ﾃ		-5
43	0x884	latin-1	89	Dr. Emmerich is probably being held#Nin his lab in the northeast part of that#Nfloor.	O Dr. Emmerich deve estar#Npreso no laboratorio no canto#Nnordeste daquele andar	-9
44	0x8e1	shift_jis	5	K奉9ﾃ		-5
45	0x8e8	latin-1	66	They've flooded the area with gas to#Nprevent him from escaping.	Inundaram a area com gas p/#Nimpedir q ele escape	-17
46	0x94d	shift_jis	5	y奉9ﾃ		-5
47	0x954	latin-1	112	But there should be a gas mask on#Nthat floor too. If you use it, you'll be#Nable to make it through easily.	Mas deve haver uma mascara de gas#Nnaquele andar tbm. Se usa-la#Nconseguira passar facilmente	-19
48	0x9d9	latin-1	9	ô1 11		-9
49	0x9f4	shift_jis	5	B奉9ﾃ		-5
50	0x9fb	latin-1	57	Snake, Dr. Emmerich is being held#Njust north of there.	Snake, o Dr. Emmerich ta sendo#Nmantido ao norte dali	-4
51	0xa37	latin-1	13	@;08		-13
52	0xa4e	latin-1	10	G{1 1		-10
53	0xa8a	shift_jis	5	W奉9ﾃ		-5
54	0xa91	latin-1	78	Dr. Emmerich should be in the#Nlaboratory area in the 2nd floor#Nbasement.	O Dr. Emmerich deve estar na area#Ndo laboratorio no subsolo-2	-16
55	0xafc	latin-1	121	He should be in the research lab#Nin the 2nd floor basement of the#NNuclear Warhead Storage Building#Nto the north.	Ele deve estar no laboratorio de#Npesquisa no subsolo-2 do Edificio#Nde Armazenamento de Ogivas Nucleares#Nao norte	-6
56	0xba4	latin-1	5	9!Ê÷;		-5
57	0xbab	latin-1	48	Meryl, what are these holes in#Nthe walls for?	Meryl, p/ q servem esses buracos#Nnas paredes?	-2
58	0xbe6	latin-1	109	That's an air cleaner for blowing#Ntiny particles of dust off people's#Nbodies before they enter the lab.	Eh purificador ar soprar#Nparticulas poeira corpos das#Npessoas antes entrem laboratorio	-21
59	0xd28	shift_jis	12	Who are you?	Quem eh vc?	-1
60	0xd38	latin-1	5	Q!Ê÷;		-5
61	0xd3f	latin-1	72	I was really impressed with the way#Nyou busted yourself out of there.	Fiquei impressionado com o jeito#Nque vc escapou de la	-18
62	0xd92	shift_jis	27	The one from the prison...?	Aquele da prisao..?	-8
63	0xdb8	latin-1	44	You're the Colonel's niece, Meryl,#Nright?	Vc eh a sobrinha do Cel., Meryl#Ncerto?	-5
64	0xdef	shift_jis	26	......No...it's not him...	....Nao..nao eh ele..	-5
65	0xe14	shift_jis	25	Just exactly who are you?	Afinal, quem eh vc?	-6
66	0xe31	latin-1	5	^!Ê÷;		-5
67	0xe38	latin-1	85	I'm the fool that your uncle sent all#Nalone into the middle of this whole#Nmess.	Sou o idiota q seu tio mandou#Nsozinho p/ o meio dessa bagunca#Ntoda	-17
68	0xe98	shift_jis	21	You came by yourself?	Vc veio sozinho?	-5
69	0xeb8	latin-1	46	You think you're some kind of#None-man army?	Vc acha algum tipo#Nexercito homem so?	-8
70	0xf10	shift_jis	22	You're not even armed.	Nem armado vc esta	-4
71	0xf2a	latin-1	5	6!Ê÷;		-5
72	0xf31	latin-1	45	I appreciate your help from before.#NBut...	Agradeco sua ajuda de antes#NMas..	-11
73	0xf77	shift_jis	22	I don't need lectures.	Nao preciso de sermoes	0
74	0xf91	shift_jis	5	/!ﾊr(		-5
75	0xf97	shift_jis	39	You're just like your uncle, you know.	Vc eh igualzinho ao seu tio, sabia	-5
76	0xfc9	shift_jis	25	How do you know my uncle?	Como conhece meu tio?	-4
77	0xfec	shift_jis	16	We go way back.	Amizade antiga	-2
78	0x1007	shift_jis	17	What's your name?	Qual o seu nome?	-1
79	0x101c	latin-1	5	!!Ê÷;		-5
80	0x1023	shift_jis	24	My name's not important.	Meu nome nao importa	-4
81	0x1046	shift_jis	4	Aha!	Aha!	0
82	0x1055	shift_jis	19	Could you be Snake?	Vc seria o Snake?	-2
83	0x1073	shift_jis	20	Are you Solid Snake?	Vc eh Solid Snake?	-2
84	0x108b	latin-1	5	+!Ê÷;		-5
85	0x1092	shift_jis	34	That's what some people called me.	Eh assim algumas pessoas me chamam	0
86	0x10bf	shift_jis	35	The legendary Solid Snake...! You!?	O lendario Solid Snake..! vc!?	-5
87	0x10f7	shift_jis	21	Sorry about before...	Desculpe por antes..	-1
88	0x1110	shift_jis	5	;奉9ﾃ		-5
89	0x1117	latin-1	50	I wasn't sure if you were one of#Nthe good guys.	Nao tinha certeza se vc era#Num dos mocinhos	-6
90	0x1154	shift_jis	20	But I knew you were.	Eu sabia q vc era	-3
91	0x1173	shift_jis	4	How?	Como?	1
92	0x118e	shift_jis	15	It's your eyes.	Sao seus olhos	-1
93	0x11a7	shift_jis	9	My eyes?	O olhar?	-1
94	0x11b4	latin-1	5	$!Ê÷;		-5
95	0x11bb	shift_jis	27	They're not soldier's eyes.	Nao sao olhos de soldado	-3
96	0x11da	shift_jis	5	&奉9ﾃ		-5
97	0x11e0	shift_jis	30	They're rookie's eyes, right?	Sao olhos de novato, nao eh?	-2
98	0x1209	latin-1	45	No, they're beautiful, compassionate#Neyes.	Nao, sao olhos bonitos#Ncompassivos	-10
99	0x1246	shift_jis	5	@奉ｴｯ		-5
100	0x124c	latin-1	56	Just what I'd expect from the#Nlegendary Solid Snake.	Exatamente o q esperaria do#Nlendario Solid Snake	-7
101	0x1288	shift_jis	5	,奉ｴｯ		-5
102	0x128f	shift_jis	35	You trying to sweep me off my feet?	Esta tentando me conquistar?	-7
103	0x12c0	latin-1	5	C!Ê÷;		-5
104	0x12c7	latin-1	58	Don't worry. You'll land back on them#Nonce you meet me.	Nao se preocupe. Voltara a realidade#Nquando me conhecer	-2
105	0x1305	latin-1	5	?!Ê÷;		-5
106	0x130c	latin-1	54	The reality is no match for the legend,#NI'm afraid.	A realidade nao faz jus a lenda#Nreceio	-15
107	0x134c	shift_jis	22	I don't believe that.	Nao acredito nisso	-4
108	0x1377	latin-1	54	Why did you look so surprised when#Nyou saw my face?	Pq pareceu tao surpresa quando#Nviu meu rosto?	-8
109	0x13b1	shift_jis	5	(奉9ﾃ		-5
110	0x13b7	shift_jis	32	Because you look just like him.	pq vc se parece com ele	-9
111	0x13db	latin-1	5	=!Ê÷;		-5
112	0x13e2	latin-1	52	...You mean the terrorists' leader,#NLiquid Snake?	..Quer dizer o lider dos terroristas#NLiquid Snake?	-1
113	0x1421	shift_jis	19	Yeah, you know him?	Sim, vc o conhece?	-1
114	0x1438	latin-1	5	'òdù		-5
115	0x143e	shift_jis	31	You're not brothers, are you!?	Vcs nao sao irmaos, sao!?	-6
116	0x1468	shift_jis	17	I have no family.	Nao tenho familia	0
117	0x1483	shift_jis	25	So what's the deal then?	Entao qual a historia?	-3
118	0x14a0	latin-1	5	*!Ê÷;		-5
119	0x14a7	shift_jis	33	Who knows. Why don't you ask him?	Quem sabe. Por nao pergunta ele?	-1
120	0x14df	shift_jis	34	But first I want some information.	Mas primeiro quero informacoes	-4
121	0x1505	latin-1	5	a!Ê÷;		-5
122	0x150c	latin-1	88	You were involved in this exercise#Nfrom the beginning.#NWhat exactly happened here?	Vc estava envolvida neste exercicio#Ndesde o inicio#NO q exatamente aconteceu aqui?	-5
123	0x1568	latin-1	5	eòdù		-5
124	0x156e	latin-1	93	I'm sorry. I was captured along with#NPresident Baker right after the#Nterrorist attack.	Desculpe. Fui capturada junto com o#NPresidente Baker logo apos o#Nataque terrorista	-9
125	0x15d6	shift_jis	12	That's okay.	Tudo bem	-4
126	0x15f7	shift_jis	23	But what is this place?	Mas q lugar eh este?	-3
127	0x1612	latin-1	5	J!Ê÷;		-5
128	0x1619	latin-1	65	I don't think it's just a nuclear#Nweapons disposal facility...	Nao acho q seja so um#Nlugar pra descartar armas nucleares..	-5
129	0x165e	latin-1	5	*òdù		-5
130	0x1664	shift_jis	34	Boy oh boy...it's just like them!	Nossa..eh tipico deles!	-11
131	0x1690	shift_jis	38	Nobody's told you anything, did they?	ninguem te disse nada, nao eh?	-8
132	0x16ba	shift_jis	5	R奉9ﾃ		-5
133	0x16c1	latin-1	73	Okay...you see, this place isn't really#Nfor disposing nuclear weapons.	Ok..veja, este lugar nao eh realmente#Npara descartar armas nucleares	-4
134	0x170e	latin-1	5	Oòdù		-5
135	0x1714	latin-1	71	This base is owned and operated by#Na dummy corporation of ArmsTech.	Esta base propriedade operada por#Numa empresa fachada ArmsTech	-8
136	0x1769	shift_jis	5	!ﾊ>-		-5
137	0x1779	shift_jis	25	This is a civilian base?	Esta eh uma base civil?	-2
138	0x1796	shift_jis	5	5奉9ﾃ		-5
139	0x179d	latin-1	44	Right.#NFor the development of Metal Gear.	Certo#NPara o desenvolvimento do Metal Gear	-1
140	0x17cd	shift_jis	5	!ﾊｮ#		-5
141	0x17d3	shift_jis	9	Colonel!	Cel.!	-4
142	0x17e7	latin-1	126	FOX-HOUND and the Next-#NGeneration Special Forces were#Ncalled here for the test launching of#Na dummy nuclear warhead.	A FOX-HOUND e as Forcas Especiais de#NNova Geracao foram chamadas p/#No teste de lancamento de uma ogiva#Nnuclear falsa	-7
143	0x186f	shift_jis	15	Why FOX-HOUND?	Pq a FOXHOUND?	-1
144	0x1882	shift_jis	5	U奉9ﾃ		-5
145	0x1889	latin-1	76	Because they're a Special Ops group#Nused to handling top secret missions.	Pq eles sao um grupo de Ops#NEspeciais acostumado com missoes secretas	-6
146	0x18d9	shift_jis	5	?奉9ﾃ		-5
147	0x18e0	latin-1	54	They figured they could help keep it#Nall hush-hush.	Acharam q poderiam ajudar a manter#Ntudo em segredo	-3
148	0x191a	latin-1	5	;!Ê÷;		-5
149	0x1921	latin-1	50	But we must have fired nuclear#Nwarheads before.	Mas nos disparamos ogivas#Nnucleares antes	-8
150	0x195e	shift_jis	19	Why just this time?	Pq so desta vez?	-3
151	0x197c	latin-1	142	I heard it was because this was to be#Na final test before the formal adoption#Nof the Metal Gear program...that's#Nwhat I heard anyway.	Ouvi dizer q foi pq este seria#Num teste final antes da adocao formal#Ndo programa Metal Gear..foi o q#Nouvi, pelo menos	-22
152	0x1a0e	latin-1	5	%!Ê÷;		-5
153	0x1a15	shift_jis	28	Hmmm...sounds kinda fishy...	Hmmm..parece meio suspeito..	0
154	0x1a3c	latin-1	44	So what do you think the terrorists#Nwant?	Entao o q acha q os terroristas#Nquerem?	-4
155	0x1a73	shift_jis	22	Sorry, I'm not sure...	Desculpe, nao sei..	-3
156	0x1a8d	shift_jis	5	Q奉9ﾃ		-5
157	0x1a94	latin-1	72	I was captured with President Baker#Nright after the revolt started...	Fui capturada com o Presidente Baker#Nlogo apos a revolta comecar..	-5
158	0x1ae7	shift_jis	8	Oh yeah.	Ah sim	-2
159	0x1af3	latin-1	5	I!Ê÷;		-5
160	0x1afa	latin-1	64	That's when he gave you detonation#Ncode override keys, right?	Ai ele te deu as chaves#Nde cancelamento de denonacao, ne?	-6
161	0x1b44	shift_jis	14	That's right.	Exato	-9
162	0x1b56	latin-1	5	D!Ê÷;		-5
163	0x1b5d	latin-1	59	Amazing you were able to keep'em#Nhidden from the guards.	Incrivel como conseguiu mante-las#Nescondidas dos guardas	-2
164	0x1b9c	shift_jis	5	:奉ｴｯ		-5
165	0x1ba2	latin-1	50	Well...women have more hiding places#Nthan men.	Bom, mulheres tem mais#Nesconderijos q homens	-5
166	0x1bd8	shift_jis	5	<奉9ﾃ		-5
167	0x1bde	latin-1	52	Anyway, you met Baker, huh? How's#Nhe holding up?	Enfim, vc conheceu Baker? Como#Nele ta se saindo?	-3
168	0x1c1d	shift_jis	13	...He's dead.	..Ele morreu	-1
169	0x1c34	shift_jis	7	What!?	O que?	-1
170	0x1c46	shift_jis	13	Heart attack.	Infarto.	-5
171	0x1c57	latin-1	5	#!Ê÷;		-5
172	0x1c5e	shift_jis	26	Same as the DARPA Chief...	Igual ao Chefe da DARPA..	-1
173	0x1c88	latin-1	5	6òdù		-5
174	0x1c8e	latin-1	46	The Chief died from a heart attack#Ntoo...?	O Chefe tbm morreu de ataque#Ncardiaco..?	-5
175	0x1cc0	latin-1	5	7!Ê÷;		-5
176	0x1cc7	latin-1	46	Yeah...Was either of them sick or#Nanything?	Sim,Algum deles estava doente ou#Nalgo assim?	-1
177	0x1cf9	latin-1	5	"""òdù"		-5
178	0x1d00	shift_jis	25	No...not that I heard of.	Nao..nao q tenha ouvido	-2
179	0x1d1d	latin-1	5	.!Ê÷;		-5
180	0x1d24	shift_jis	37	Well I don't believe in coincidences.	Bem, nao acredito em coincidencias	-3
181	0x1d54	shift_jis	27	Something funny's going on.	Algo estranho acontecendo	-2
182	0x1d7a	shift_jis	21	Hmmm. Sounds like it.	Hmmm. Parece mesmo	-3
183	0x1d93	latin-1	5	!òdù		-5
184	0x1d9a	shift_jis	24	But I have no idea what.	Mas n faco ideia do que	-1
185	0x1dbd	shift_jis	17	Me neither...yet.	Nem eu..ainda	-4
186	0x1dd9	latin-1	50	Do you know the person who#Ndesigned Metal Gear?	Conhece a pessoa q#Nprojetou o Metal Gear?	-8
187	0x1e15	shift_jis	23	You mean Dr. Emmerich?	Quer dizer Emmerich?	-3
188	0x1e37	shift_jis	23	Yes. Is he still alive?	Sim. Ele ainda ta vivo?	0
189	0x1e59	latin-1	131	Probably. He should be in the#Nresearch lab in the 2nd floor#Nbasement of the Nuclear Warhead#NStorage Building to the north.	Provavelmente. Ele deve estar no#Nlaboratorio no subsolo-2#Ndo Edificio de Armazenamento de Ogivas#NNucleares ao norte	-13
190	0x1ee7	shift_jis	19	2nd floor basement?	Subsolo-2?	-9
191	0x1efe	shift_jis	5	'奉9ﾃ		-5
192	0x1f05	shift_jis	30	Yeah, that's where his lab is.	Sim,onde fica laboratorio dele	0
193	0x1f2e	latin-1	72	I think they're forcing him to work on#Nthe nuclear launching program.	Acho q forcaram-lo a trabalhar#Nno programa de lancamento nuclear	-7
194	0x1f7a	latin-1	5	A!Ê÷;		-5
195	0x1f81	latin-1	56	So they'll need him alive until that's#Ndone anyway...	Entao precisarao dele vivo ate q#Nisso esteja pronto..	-2
196	0x1fbd	shift_jis	5	=奉9ﾃ		-5
197	0x1fc4	latin-1	52	Then we'd better do something#Nbefore he finishes.	Entao eh melhor fazermos algo#Nantes q ele termine	-2
198	0x2003	shift_jis	13	You're right.	Vc ta certo	-2
199	0x2014	latin-1	5	r!Ê÷;		-5
200	0x201b	latin-1	105	In case we can't override the#Ndetonation code in time, I need to ask#Nhim how to destroy Metal Gear.	Caso nao consigamos anular codigo#Ndetonacao a tempo preciso perguntar#Na ele como destruir Metal Gear	-3
201	0x2092	shift_jis	5	>奉9ﾃ		-5
202	0x2098	latin-1	54	You plan to take that thing on by#Nyourself, Snake?	Pretende enfrentar aquela coisa#Nsozinho, Snake?	-6
203	0x20d2	latin-1	5	&!Ê÷;		-5
204	0x20d9	shift_jis	29	It won't be the first time...	Nao seria a primeira vez..	-3
205	0x2101	shift_jis	10	..........	......	-4
206	0x210f	latin-1	5	Y!Ê÷;		-5
207	0x2116	latin-1	80	What's the best way to get to the#Nbuilding where the Doctor is being#Nheld?	Qual a melhor forma de chegar ao#Nedificio onde o Dr. ta sendo#Nmantido?	-8
208	0x216a	shift_jis	5	[奉9ﾃ		-5
209	0x2171	latin-1	82	There's a cargo door on the 1st floor#Nof this building that leads to the north.	Ha uma porta de carga no andar-1#Ndeste edificio q leva ao norte	-18
210	0x21c7	latin-1	5	8!Ê÷;		-5
211	0x21ce	latin-1	47	What's the security level of the door#Nthere?	Qual o nivel de seguranca da porta#Nla?	-8
212	0x2208	latin-1	52	Five, but it's okay...I've got a level five#Ncard.	5, mas tudo bem..tenho um cartao#Nnivel 5	-11
213	0x2247	shift_jis	7	Well...	Bem..	-2
214	0x2252	latin-1	5	<!Ê÷;		-5
215	0x2259	latin-1	51	I've got to go save the Doctor.#NYou should go...	Preciso ir salvar o Dr.#Nvc deveria ir..	-11
216	0x2297	shift_jis	19	I'm going with you!	Eu vou com vc!	-5
217	0x22b5	shift_jis	7	No way.	Nem vem	0
218	0x22c7	latin-1	56	You're still too green. I want you to#Nhide somewhere.	Vc ainda eh inexperiente#NSe esconda em algum lugar	-5
219	0x2309	shift_jis	15	I'm not green.	Nao sou novata	-1
220	0x2323	shift_jis	15	Oh yes you are.	Ah, sim vc eh	-2
221	0x2355	latin-1	5	S!Ê÷;		-5
222	0x235c	latin-1	74	You pause for just one second in front#Nof your enemy and it's all over!	Vc hesita por apenas um segundo na#Nfrente do inimigo e ja era!	-11
223	0x23aa	latin-1	5	(!Ê÷;		-5
224	0x23b1	shift_jis	31	Good luck doesn't last forever!	A sorte nao dura p/ sempre!	-4
225	0x23fa	latin-1	76	I don't know what happened. I just#Ncouldn't pull the trigger right away.	Nao sei o q aconteceu. Simplesmente#Nnao consegui puxar o gatilho na hora	-3
226	0x2451	shift_jis	39	I never had any problems in training...	Nunca tive problemas no treinamento..	-2
227	0x2483	latin-1	96	But when I thought about my bullets#Ntearing through those soldiers' bodies,#NI hesitated...	Mas quando pensei nas minhas balas#Nperfurando os corpos daqueles soldados#Nhesitei..	-11
228	0x24e7	latin-1	5	W!Ê÷;		-5
229	0x24ee	latin-1	78	Shooting at targets and shooting at#Nliving, breathing people are different.	Atirar em alvos e atirar em pessoas#Nvivas q respiram eh diferente	-12
230	0x2547	latin-1	76	Ever since I was a little girl, I always#Ndreamed about being a soldier...	Desde pequena, sempre sonhei#Nem ser uma soldado..	-26
231	0x259e	latin-1	129	Everyday of my life, I've trained my#Nmind and body for the one day when#NI could finally see some real action,#Nand now...	Todos os dias da minha vida, treinei#Nminha mente e corpo p/ o dia em q#Nfinalmente veria acao real#Ne agora..	-19
232	0x262a	shift_jis	28	So what now? You wanna quit?	E agora? Quer desistir?	-5
233	0x2651	shift_jis	13	I can't quit.	Nao posso..	-2
234	0x266c	shift_jis	5	*奉9ﾃ		-5
235	0x2672	shift_jis	34	I can't allow myself to quit now.	Nao posso desistir agora	-10
236	0x269f	latin-1	72	Listen, Meryl. Everybody feels sick#Nthe first time they kill someone.	Escute, Meryl. Todo mundo se sente mal#Nna primeira vez q mata alguem	-3
237	0x26f2	latin-1	88	Unfortunately, killing is one of those#Nthings that gets easier the more you#Ndo it.	Infelizmente, matar eh uma daquelas#Ncoisas q fica mais facil quanto mais#Nvc faz	-7
238	0x274e	latin-1	5	N!Ê÷;		-5
239	0x2755	latin-1	69	In a war, all of mankind's worst#Nemotions...worst traits come out.	Na guerra, as piores emocoes#Nhumanas.. os piores tracos aparecem	-4
240	0x279e	latin-1	5	M!Ê÷;		-5
241	0x27a5	latin-1	68	It's easy to forget what a sin is in#Nthe middle of a battlefield.	Eh facil esquecer o q eh pecado no#Nmeio de um campo de batalha	-5
242	0x27f4	shift_jis	21	But this isn't a war.	Mas isso n eh guerra	-1
243	0x2813	shift_jis	25	It's a terrorist action.	Eh uma acao terrorista	-3
244	0x2837	latin-1	51	You're just a little jumpy from the#Ncombat high.	Voce ta um pouco nervoso por causa do #Ncombat	-5
245	0x286e	latin-1	5	H!Ê÷;		-5
246	0x2875	latin-1	63	The adrenaline in your blood stream is#Nstarting to thin out.	A adrenalina na sua corrente sanguinea#Nesta diminuindo	-8
247	0x28bf	shift_jis	18	Just take it easy.	Apenas se acalme	-2
248	0x28d5	latin-1	5	Aòdù		-5
249	0x28dc	latin-1	56	But I learned all about combat high at#Nthe academy...	Mas aprendi tudo sobre extase de#Ncombate na academia..	-1
250	0x291f	shift_jis	26	We'll talk about it later.	Conversaremos depois..	-4
251	0x2944	latin-1	52	For now, just think about keeping#Nyourself alive.	Por enquanto, pense apenas em se#Nmanter viva	-7
252	0x29a3	latin-1	65	If I get out of here alive, I'll#Nthink about that other stuff.	Se sair daqui viva, pensarei#Nnessas outras coisas	-15
253	0x29ef	latin-1	46	Okay, let me try to say this another#Nway...	Ok deixe-me tentar dizer isso de#Noutra forma	-1
254	0x2a28	shift_jis	28	Stay the hell out of my way.	Nao atrapalhe meu caminho	-3
255	0x2a48	shift_jis	5	!奉ｴｯ		-5
256	0x2a4e	shift_jis	25	You're a real bastard...	Vc eh verdadeiro canalha	-1
257	0x2a6b	shift_jis	5	$奉ｴｯ		-5
258	0x2a72	shift_jis	27	...just like my uncle said.	..justo como meu tio disse	-1
259	0x2a9b	shift_jis	5	!ﾊr(		-5
260	0x2aa1	shift_jis	19	Ha ha. I told you.	Ha ha. Eu te disse	-1
261	0x2ab8	shift_jis	5	3!ﾊr(		-5
262	0x2abf	latin-1	42	The real me is no match for#Nthe legend.	O verdadeiro eu nao faz jus#Na lenda	-6
263	0x2aed	shift_jis	5	&奉ｴｯ		-5
264	0x2af3	shift_jis	30	It looks like you were right.	Parece q vc estava certo	-6
265	0x2b29	shift_jis	5	!ﾊ0x		-5
266	0x2b97	shift_jis	5	)奉ｴｯ		-5
267	0x2b9e	shift_jis	32	Okay Snake, I'll be a good girl.	Ok Snake, vou ser uma boa menina	0
268	0x2bcc	latin-1	5	/!Ê÷;		-5
269	0x2bd3	shift_jis	38	We'll link up after I grab the Doctor.	Nos encontramos depois de pegar o Dr	-2
270	0x2c04	latin-1	56	Then we'll take care of the detonation#Ncode override.	Entao cuidaremos da anulacao do#Ncodigo de detonacao	-4
271	0x2c47	shift_jis	7	Got ya.	Entendi	0
272	0x2c52	shift_jis	5	9奉9ﾃ		-5
273	0x2c59	latin-1	48	But listen, I know this area better#Nthan you.	Mas escute, conheco ta area melhor#Nque vc	-6
274	0x2c8d	shift_jis	5	+奉9ﾃ		-5
275	0x2c94	shift_jis	34	Call me if you have any questions.	Me chame se tiver alguma pergunta	-1
276	0x2cc1	shift_jis	17	Be careful, okay?	Tome cuidado ok?	-1
277	0x2cdd	latin-1	52	After I open up the cargo door,#NI'll contact you.	Depois q abrir a porta de carga#Nvou contata-lo	-5
278	0x2d26	shift_jis	8	6ｿMERYL		-8
279	0x2d3b	latin-1	9	ð111		-9
280	0x2d91	shift_jis	8	5111	5111	-4
281	0x4de9	shift_jis	8	@111		-8
282	0x4e2a	shift_jis	5	s奉9ﾃ		-5
283	0x4e31	latin-1	106	Snake?.....Don't be so impatient.#NSettle down. I need a little more time#Nto get the cargo door open.	Snake? Nao seja impaciente#NSe acalme. Preciso mais pouco#Ntempo pra abrir a porta de cargas	-14
284	0x4ea0	latin-1	12	0è11		-12
285	0x4ebd	shift_jis	5	M奉9ﾃ		-5
286	0x4ec4	latin-1	68	I'll call you when I get the door open.#NJust wait a little. Okay?	Te chamo quando conseguir abrir a porta#NSo espere um pouco. Ok?	-4
287	0x4f3b	shift_jis	9	G[1 11		-9
288	0x4f6a	shift_jis	5	Z奉9ﾃ		-5
289	0x4f71	latin-1	81	If you use a gas mask, you should be#Nable to survive that gas for a long time.	Se usar uma mascara de gas, deve#Nconseguir sobreviver ao gas por muito tempo	-4
290	0x4fec	shift_jis	22	Where is the gas mask?	Onde ta mascara gas?	-2
291	0x5006	shift_jis	5	j奉9ﾃ		-5
292	0x500d	latin-1	97	On the 2nd floor basement of that#Nbuilding. So you'll have to go through#Nthere without one.	No subsolo-2 daquele edificio. Entao#Nvc tera q passar por la sem uma	-28
293	0x50c0	latin-1	124	A cardboard box? I heard stories from#Nmy uncle, but I always thought he was#Npulling my leg...I...I've got no comment.	Uma caixa de papelao? Ouvi historias do#Nmeu tio, mas sempre pensei q ele estava#Nme enganando..sem comentarios	-13
294	0x515e	shift_jis	8	A111		-8
295	0x51b4	shift_jis	5	~奉9ﾃ		-5
