offset	texto	tamanho_bytes	encoding	texto_traduzido
0xbab	Meryl, what are these holes in#Nthe walls for?	48	latin-1	Meryl, para que servem esses buracos#Nnas paredes?
0xbe6	That's an air cleaner for blowing#Ntiny particles of dust off people's#Nbodies before they enter the lab.	109	latin-1	É um purificador de ar para soprar#Npartículas de poeira dos corpos das#Npessoas antes que entrem no laboratório.
0xd28	Who are you?	12	shift_jis	Quem é você?
0xd38	Q!Ê÷;	5	latin-1	Q!Ê÷;
0xd3f	I was really impressed with the way#Nyou busted yourself out of there.	72	latin-1	Fiquei impressionado com o jeito#Nque você escapou de lá.
0xd92	The one from the prison...?	27	shift_jis	Aquele da prisão...?
0xdb8	You're the Colonel's niece, Meryl,#Nright?	44	latin-1	Você é a sobrinha do Coronel, Meryl,#Ncerto?
0xdef	......No...it's not him...	26	shift_jis	......Não...não é ele...
0xe14	Just exactly who are you?	25	shift_jis	Afinal, quem é você?
0xe31	^!Ê÷;	5	latin-1	^!Ê÷;
0xe38	I'm the fool that your uncle sent all#Nalone into the middle of this whole#Nmess.	85	latin-1	Sou o idiota que seu tio mandou#Nsozinho para o meio dessa bagunça#Ntoda.
0xe98	You came by yourself?	21	shift_jis	Você veio sozinho?
0xeb8	You think you're some kind of#None-man army?	46	latin-1	Você se acha algum tipo de#Nexército de um homem só?
0xf10	You're not even armed.	22	shift_jis	Nem armado você está.
0xf2a	6!Ê÷;	5	latin-1	6!Ê÷;
0xf31	I appreciate your help from before.#NBut...	45	latin-1	Agradeço sua ajuda de antes.#NMas...
0xf77	I don't need lectures.	22	shift_jis	Não preciso de sermões.
0xf91	/!ﾊr(	5	shift_jis	/!ﾊr(
0xf97	You're just like your uncle, you know.	39	shift_jis	Você é igualzinho ao seu tio, sabia.
0xfc9	How do you know my uncle?	25	shift_jis	Como conhece meu tio?
0xfec	We go way back.	16	shift_jis	Nos conhecemos há muito tempo.
0x1007	What's your name?	17	shift_jis	Qual é seu nome?
0x101c	!!Ê÷;	5	latin-1	!!Ê÷;
0x1023	My name's not important.	24	shift_jis	Meu nome não é importante.
0x1046	Aha!	4	shift_jis	Aha!
0x1055	Could you be Snake?	19	shift_jis	Você seria o Snake?
0x1073	Are you Solid Snake?	20	shift_jis	Você é o Solid Snake?
0x108b	+!Ê÷;	5	latin-1	+!Ê÷;
0x1092	That's what some people called me.	34	shift_jis	É assim que algumas pessoas me chamam.
0x10bf	The legendary Solid Snake...! You!?	35	shift_jis	O lendário Solid Snake...! Você!?
0x10f7	Sorry about before...	21	shift_jis	Desculpe por antes...
0x1110	;奉9ﾃ	5	shift_jis	;奉9ﾃ
0x1117	I wasn't sure if you were one of#Nthe good guys.	50	latin-1	Não tinha certeza se você era#Num dos mocinhos.
0x1154	But I knew you were.	20	shift_jis	Mas eu sabia que era.
0x1173	How?	4	shift_jis	Como?
0x118e	It's your eyes.	15	shift_jis	São seus olhos.
0x11a7	My eyes?	9	shift_jis	Meus olhos?
0x11b4	$!Ê÷;	5	latin-1	$!Ê÷;
0x11bb	They're not soldier's eyes.	27	shift_jis	Não são olhos de soldado.
0x11da	&奉9ﾃ	5	shift_jis	&奉9ﾃ
0x11e0	They're rookie's eyes, right?	30	shift_jis	São olhos de novato, não é?
0x1209	No, they're beautiful, compassionate#Neyes.	45	latin-1	Não, são olhos bonitos,#Ncompassivos.
0x1246	@奉ｴｯ	5	shift_jis	@奉ｴｯ
0x124c	Just what I'd expect from the#Nlegendary Solid Snake.	56	latin-1	Exatamente o que esperaria do#Nlendário Solid Snake.
0x1288	,奉ｴｯ	5	shift_jis	,奉ｴｯ
0x128f	You trying to sweep me off my feet?	35	shift_jis	Está tentando me conquistar?
0x12c0	C!Ê÷;	5	latin-1	C!Ê÷;
0x12c7	Don't worry. You'll land back on them#Nonce you meet me.	58	latin-1	Não se preocupe. Voltará à realidade#Nquando me conhecer.
0x1305	?!Ê÷;	5	latin-1	?!Ê÷;
0x130c	The reality is no match for the legend,#NI'm afraid.	54	latin-1	A realidade não faz jus à lenda,#Nreceio.
0x134c	I don't believe that.	22	shift_jis	Não acredito nisso.
0x1377	Why did you look so surprised when#Nyou saw my face?	54	latin-1	Por que pareceu tão surpresa quando#Nviu meu rosto?
0x13b1	(奉9ﾃ	5	shift_jis	(奉9ﾃ
0x13b7	Because you look just like him.	32	shift_jis	Porque você se parece com ele.
0x13db	=!Ê÷;	5	latin-1	=!Ê÷;
0x13e2	...You mean the terrorists' leader,#NLiquid Snake?	52	latin-1	...Quer dizer o líder dos terroristas,#NLiquid Snake?
0x1421	Yeah, you know him?	19	shift_jis	Sim, você o conhece?
0x1438	'òdù	5	latin-1	'òdù
0x143e	You're not brothers, are you!?	31	shift_jis	Vocês não são irmãos, são!?
0x1468	I have no family.	17	shift_jis	Não tenho família.
0x1483	So what's the deal then?	25	shift_jis	Então qual é a história?
0x14a0	*!Ê÷;	5	latin-1	*!Ê÷;
0x14a7	Who knows. Why don't you ask him?	33	shift_jis	Quem sabe. Por que não pergunta a ele?
0x14df	But first I want some information.	34	shift_jis	Mas primeiro quero informações.
0x1505	a!Ê÷;	5	latin-1	a!Ê÷;
0x150c	You were involved in this exercise#Nfrom the beginning.#NWhat exactly happened here?	88	latin-1	Você estava envolvida neste exercício#Ndesde o início.#NO que exatamente aconteceu aqui?
0x1568	eòdù	5	latin-1	eòdù
0x156e	I'm sorry. I was captured along with#NPresident Baker right after the#Nterrorist attack.	93	latin-1	Desculpe. Fui capturada junto com o#NPresidente Baker logo após o#Nataque terrorista.
0x15d6	That's okay.	12	shift_jis	Tudo bem.
0x15f7	But what is this place?	23	shift_jis	Mas que lugar é este?
0x1612	J!Ê÷;	5	latin-1	J!Ê÷;
0x1619	I don't think it's just a nuclear#Nweapons disposal facility...	65	latin-1	Não acho que seja apenas uma#Ninstalação de descarte de armas nucleares...
0x165e	*òdù	5	latin-1	*òdù
0x1664	Boy oh boy...it's just like them!	34	shift_jis	Nossa...é típico deles!
0x1690	Nobody's told you anything, did they?	38	shift_jis	Ninguém te disse nada, não é?
0x16ba	R奉9ﾃ	5	shift_jis	R奉9ﾃ
0x16c1	Okay...you see, this place isn't really#Nfor disposing nuclear weapons.	73	latin-1	Ok...veja, este lugar não é realmente#Npara descartar armas nucleares.
0x170e	Oòdù	5	latin-1	Oòdù
0x1714	This base is owned and operated by#Na dummy corporation of ArmsTech.	71	latin-1	Esta base é propriedade e operada por#Numa empresa de fachada da ArmsTech.
0x1769	!ﾊ>-	5	shift_jis	!ﾊ>-
0x1779	This is a civilian base?	25	shift_jis	Esta é uma base civil?
0x1796	5奉9ﾃ	5	shift_jis	5奉9ﾃ
0x179d	Right.#NFor the development of Metal Gear.	44	latin-1	Certo.#NPara o desenvolvimento do Metal Gear.
0x17cd	!ﾊｮ#	5	shift_jis	!ﾊｮ#
0x17d3	Colonel!	9	shift_jis	Coronel!
0x17e7	FOX-HOUND and the Next-#NGeneration Special Forces were#Ncalled here for the test launching of#Na dummy nuclear warhead.	126	latin-1	A FOX-HOUND e as Forças Especiais de#NNova Geração foram chamadas aqui para#No teste de lançamento de uma ogiva#Nnuclear falsa.
0x186f	Why FOX-HOUND?	15	shift_jis	Por que a FOX-HOUND?
0x1882	U奉9ﾃ	5	shift_jis	U奉9ﾃ
0x1889	Because they're a Special Ops group#Nused to handling top secret missions.	76	latin-1	Porque são um grupo de Operações#NEspeciais acostumado a lidar com missões ultrassecretas.
0x18d9	?奉9ﾃ	5	shift_jis	?奉9ﾃ
0x18e0	They figured they could help keep it#Nall hush-hush.	54	latin-1	Acharam que poderiam ajudar a manter#Ntudo em segredo.
0x191a	;!Ê÷;	5	latin-1	;!Ê÷;
0x1921	But we must have fired nuclear#Nwarheads before.	50	latin-1	Mas já devemos ter disparado ogivas#Nnucleares antes.
0x195e	Why just this time?	19	shift_jis	Por que só desta vez?
0x197c	I heard it was because this was to be#Na final test before the formal adoption#Nof the Metal Gear program...that's#Nwhat I heard anyway.	142	latin-1	Ouvi dizer que foi porque este seria#Num teste final antes da adoção formal#Ndo programa Metal Gear...foi o que#Nouvi, pelo menos.
0x1a0e	%!Ê÷;	5	latin-1	%!Ê÷;
0x1a15	Hmmm...sounds kinda fishy...	28	shift_jis	Hmmm...parece meio suspeito...
0x1a3c	So what do you think the terrorists#Nwant?	44	latin-1	Então o que acha que os terroristas#Nquerem?
0x1a73	Sorry, I'm not sure...	22	shift_jis	Desculpe, não tenho certeza...
0x1a8d	Q奉9ﾃ	5	shift_jis	Q奉9ﾃ
0x1a94	I was captured with President Baker#Nright after the revolt started...	72	latin-1	Fui capturada com o Presidente Baker#Nlogo após a revolta começar...
0x1ae7	Oh yeah.	8	shift_jis	Ah sim.
0x1af3	I!Ê÷;	5	latin-1	I!Ê÷;
0x1afa	That's when he gave you detonation#Ncode override keys, right?	64	latin-1	Foi quando ele te deu as chaves de#Nanulação do código de detonação, certo?
0x1b44	That's right.	14	shift_jis	Exato.
0x1b56	D!Ê÷;	5	latin-1	D!Ê÷;
0x1b5d	Amazing you were able to keep'em#Nhidden from the guards.	59	latin-1	Incrível como conseguiu mantê-las#Nescondidas dos guardas.
0x1b9c	:奉ｴｯ	5	shift_jis	:奉ｴｯ
0x1ba2	Well...women have more hiding places#Nthan men.	50	latin-1	Bem...mulheres têm mais lugares para#Nesconder coisas que homens.
0x1bd8	<奉9ﾃ	5	shift_jis	<奉9ﾃ
0x1bde	Anyway, you met Baker, huh? How's#Nhe holding up?	52	latin-1	Enfim, você conheceu o Baker, né? Como#Nele está se saindo?
0x1c1d	...He's dead.	13	shift_jis	...Ele morreu.
0x1c34	What!?	7	shift_jis	O quê!?
0x1c46	Heart attack.	13	shift_jis	Ataque cardíaco.
0x1c57	#!Ê÷;	5	latin-1	#!Ê÷;
0x1c5e	Same as the DARPA Chief...	26	shift_jis	Igual ao Chefe da DARPA...
0x1c88	6òdù	5	latin-1	6òdù
0x1c8e	The Chief died from a heart attack#Ntoo...?	46	latin-1	O Chefe também morreu de ataque#Ncardíaco...?
0x1cc0	7!Ê÷;	5	latin-1	7!Ê÷;
0x1cc7	Yeah...Was either of them sick or#Nanything?	46	latin-1	Sim...Algum deles estava doente ou#Nalgo assim?
0x1cf9	"òdù	5	latin-1	"òdù
0x1d00	No...not that I heard of.	25	shift_jis	Não...não que eu tenha ouvido.
0x1d1d	.!Ê÷;	5	latin-1	.!Ê÷;
0x1d24	Well I don't believe in coincidences.	37	shift_jis	Bem, não acredito em coincidências.
0x1d54	Something funny's going on.	27	shift_jis	Algo estranho está acontecendo.
0x1d7a	Hmmm. Sounds like it.	21	shift_jis	Hmmm. Parece mesmo.
0x1d93	!òdù	5	latin-1	!òdù
0x1d9a	But I have no idea what.	24	shift_jis	Mas não faço idéia do quê.
0x1dbd	Me neither...yet.	17	shift_jis	Nem eu...ainda.
0x1dd9	Do you know the person who#Ndesigned Metal Gear?	50	latin-1	Conhece a pessoa que#Nprojetou o Metal Gear?
0x1e15	You mean Dr. Emmerich?	23	shift_jis	Quer dizer o Dr. Emmerich?
0x1e37	Yes. Is he still alive?	23	shift_jis	Sim. Ele ainda está vivo?
0x1e59	Probably. He should be in the#Nresearch lab in the 2nd floor#Nbasement of the Nuclear Warhead#NStorage Building to the north.	131	latin-1	Provavelmente. Ele deve estar no#Nlaboratório de pesquisa no 2º subsolo#Ndo Edifício de Armazenamento de Ogivas#NNucleares ao norte.
0x1ee7	2nd floor basement?	19	shift_jis	2º subsolo?
0x1efe	'奉9ﾃ	5	shift_jis	'奉9ﾃ
0x1f05	Yeah, that's where his lab is.	30	shift_jis	Sim, é onde fica o laboratório dele.
0x1f2e	I think they're forcing him to work on#Nthe nuclear launching program.	72	latin-1	Acho que estão forçando ele a trabalhar#Nno programa de lançamento nuclear.
0x1f7a	A!Ê÷;	5	latin-1	A!Ê÷;
0x1f81	So they'll need him alive until that's#Ndone anyway...	56	latin-1	Então precisarão dele vivo até que#Nisso esteja pronto...
0x1fbd	=奉9ﾃ	5	shift_jis	=奉9ﾃ
0x1fc4	Then we'd better do something#Nbefore he finishes.	52	latin-1	Então é melhor fazermos algo#Nantes que ele termine.
0x2003	You're right.	13	shift_jis	Você está certo.
0x2014	r!Ê÷;	5	latin-1	r!Ê÷;
0x201b	In case we can't override the#Ndetonation code in time, I need to ask#Nhim how to destroy Metal Gear.	105	latin-1	Caso não consigamos anular o código#Nde detonação a tempo, preciso perguntar#Na ele como destruir o Metal Gear.
0x2092	>奉9ﾃ	5	shift_jis	>奉9ﾃ
0x2098	You plan to take that thing on by#Nyourself, Snake?	54	latin-1	Pretende enfrentar aquela coisa#Nsozinho, Snake?
0x20d2	&!Ê÷;	5	latin-1	&!Ê÷;
0x20d9	It won't be the first time...	29	shift_jis	Não seria a primeira vez...
0x2101	..........	10	shift_jis	..........
0x210f	Y!Ê÷;	5	latin-1	Y!Ê÷;
0x2116	What's the best way to get to the#Nbuilding where the Doctor is being#Nheld?	80	latin-1	Qual a melhor forma de chegar ao#Nedifício onde o Doutor está sendo#Nmantido?
0x216a	[奉9ﾃ	5	shift_jis	[奉9ﾃ
0x2171	There's a cargo door on the 1st floor#Nof this building that leads to the north.	82	latin-1	Há uma porta de carga no 1º andar#Ndeste edifício que leva ao norte.
0x21c7	8!Ê÷;	5	latin-1	8!Ê÷;
0x21ce	What's the security level of the door#Nthere?	47	latin-1	Qual o nível de segurança da porta#Nlá?
0x2208	Five, but it's okay...I've got a level five#Ncard.	52	latin-1	Cinco, mas tudo bem...tenho um cartão#Nnível cinco.
0x2247	Well...	7	shift_jis	Bem...
0x2252	<!Ê÷;	5	latin-1	<!Ê÷;
0x2259	I've got to go save the Doctor.#NYou should go...	51	latin-1	Preciso ir salvar o Doutor.#NVocê deveria ir...
0x2297	I'm going with you!	19	shift_jis	Vou com você!
0x22b5	No way.	7	shift_jis	De jeito nenhum.
0x22c7	You're still too green. I want you to#Nhide somewhere.	56	latin-1	Você ainda é muito inexperiente. Quero#Nque se esconda em algum lugar.
0x2309	I'm not green.	15	shift_jis	Não sou inexperiente.
0x2323	Oh yes you are.	15	shift_jis	Ah, sim você é.
0x2355	S!Ê÷;	5	latin-1	S!Ê÷;
0x235c	You pause for just one second in front#Nof your enemy and it's all over!	74	latin-1	Você hesita por apenas um segundo na#Nfrente do inimigo e já era!
0x23aa	(!Ê÷;	5	latin-1	(!Ê÷;
0x23b1	Good luck doesn't last forever!	31	shift_jis	A sorte não dura para sempre!
0x23fa	I don't know what happened. I just#Ncouldn't pull the trigger right away.	76	latin-1	Não sei o que aconteceu. Simplesmente#Nnão consegui puxar o gatilho na hora.
0x2451	I never had any problems in training...	39	shift_jis	Nunca tive problemas no treinamento...
0x2483	But when I thought about my bullets#Ntearing through those soldiers' bodies,#NI hesitated...	96	latin-1	Mas quando pensei nas minhas balas#Nperfurando os corpos daqueles soldados,#Nhesitei...
0x24e7	W!Ê÷;	5	latin-1	W!Ê÷;
0x24ee	Shooting at targets and shooting at#Nliving, breathing people are different.	78	latin-1	Atirar em alvos e atirar em pessoas#Nvivas que respiram é diferente.
0x2547	Ever since I was a little girl, I always#Ndreamed about being a soldier...	76	latin-1	Desde pequena, sempre sonhei#Nem ser uma soldado...
0x259e	Everyday of my life, I've trained my#Nmind and body for the one day when#NI could finally see some real action,#Nand now...	129	latin-1	Todos os dias da minha vida, treinei#Nminha mente e corpo para o dia em que#Nfinalmente veria ação real,#Ne agora...
0x262a	So what now? You wanna quit?	28	shift_jis	E agora? Quer desistir?
0x2651	I can't quit.	13	shift_jis	Não posso desistir.
0x266c	*奉9ﾃ	5	shift_jis	*奉9ﾃ
0x2672	I can't allow myself to quit now.	34	shift_jis	Não posso me permitir desistir agora.
0x269f	Listen, Meryl. Everybody feels sick#Nthe first time they kill someone.	72	latin-1	Escute, Meryl. Todo mundo se sente mal#Nna primeira vez que mata alguém.
0x26f2	Unfortunately, killing is one of those#Nthings that gets easier the more you#Ndo it.	88	latin-1	Infelizmente, matar é uma daquelas#Ncoisas que fica mais fácil quanto mais#Nvocê faz.
0x274e	N!Ê÷;	5	latin-1	N!Ê÷;
0x2755	In a war, all of mankind's worst#Nemotions...worst traits come out.	69	latin-1	Numa guerra, todas as piores emoções#Nda humanidade...os piores traços aparecem.
0x279e	M!Ê÷;	5	latin-1	M!Ê÷;
0x27a5	It's easy to forget what a sin is in#Nthe middle of a battlefield.	68	latin-1	É fácil esquecer o que é pecado no#Nmeio de um campo de batalha.
0x27f4	But this isn't a war.	21	shift_jis	Mas isso não é uma guerra.
0x2813	It's a terrorist action.	25	shift_jis	É uma ação terrorista.
0x2837	You're just a little jumpy from the#Ncombat high.	51	latin-1	Você está apenas nervosa por causa#Nda adrenalina do combate.
0x286e	H!Ê÷;	5	latin-1	H!Ê÷;
0x2875	The adrenaline in your blood stream is#Nstarting to thin out.	63	latin-1	A adrenalina na sua corrente sanguínea#Nestá começando a diminuir.
0x28bf	Just take it easy.	18	shift_jis	Apenas se acalme.
0x28d5	Aòdù	5	latin-1	Aòdù
0x28dc	But I learned all about combat high at#Nthe academy...	56	latin-1	Mas aprendi tudo sobre adrenalina de#Ncombate na academia...
0x291f	We'll talk about it later.	26	shift_jis	Conversaremos sobre isso depois.
0x2944	For now, just think about keeping#Nyourself alive.	52	latin-1	Por enquanto, pense apenas em se#Nmanter viva.
0x29a3	If I get out of here alive, I'll#Nthink about that other stuff.	65	latin-1	Se sair daqui viva, pensarei#Nnessas outras coisas.
0x29ef	Okay, let me try to say this another#Nway...	46	latin-1	Ok, deixe-me tentar dizer isso de#Noutra forma...
0x2a28	Stay the hell out of my way.	28	shift_jis	Não atrapalhe meu caminho.
0x2a48	!奉ｴｯ	5	shift_jis	!奉ｴｯ
0x2a4e	You're a real bastard...	25	shift_jis	Você é um verdadeiro canalha...
0x2a6b	$奉ｴｯ	5	shift_jis	$奉ｴｯ
0x2a72	...just like my uncle said.	27	shift_jis	...exatamente como meu tio disse.
0x2a9b	!ﾊr(	5	shift_jis	!ﾊr(
0x2aa1	Ha ha. I told you.	19	shift_jis	Ha ha. Eu te disse.
0x2ab8	3!ﾊr(	5	shift_jis	3!ﾊr(
0x2abf	The real me is no match for#Nthe legend.	42	latin-1	O verdadeiro eu não faz jus#Nà lenda.
0x2aed	&奉ｴｯ	5	shift_jis	&奉ｴｯ
0x2af3	It looks like you were right.	30	shift_jis	Parece que você estava certo.
0x2b29	!ﾊ0x	5	shift_jis	!ﾊ0x
0x2b97	)奉ｴｯ	5	shift_jis	)奉ｴｯ
0x2b9e	Okay Snake, I'll be a good girl.	32	shift_jis	Ok Snake, vou ser uma boa menina.
0x2bcc	/!Ê÷;	5	latin-1	/!Ê÷;
0x2bd3	We'll link up after I grab the Doctor.	38	shift_jis	Nos encontraremos depois que pegar o Doutor.
0x2c04	Then we'll take care of the detonation#Ncode override.	56	latin-1	Então cuidaremos da anulação do#Ncódigo de detonação.
0x2c47	Got ya.	7	shift_jis	Entendi.
0x2c52	9奉9ﾃ	5	shift_jis	9奉9ﾃ
0x2c59	But listen, I know this area better#Nthan you.	48	latin-1	Mas escute, conheço esta área melhor#Nque você.
0x2c8d	+奉9ﾃ	5	shift_jis	+奉9ﾃ
0x2c94	Call me if you have any questions.	34	shift_jis	Me chame se tiver alguma pergunta.
0x2cc1	Be careful, okay?	17	shift_jis	Tome cuidado, ok?
0x2cdd	After I open up the cargo door,#NI'll contact you.	52	latin-1	Depois que abrir a porta de carga,#Nvou contatá-lo.
0x2d26	6ｿMERYL	8	shift_jis	6ｿMERYL
0x2d3b	ð111	9	latin-1	ð111
0x2d91	5111	8	shift_jis	5111
0x4de9	@111	8	shift_jis	@111
0x4e2a	s奉9ﾃ	5	shift_jis	s奉9ﾃ
0x4e31	Snake?.....Don't be so impatient.#NSettle down. I need a little more time#Nto get the cargo door open.	106	latin-1	Snake?.....Não seja tão impaciente.#NSe acalme. Preciso de mais um pouco#Nde tempo para abrir a porta de carga.
0x4ea0	0è11	12	latin-1	0è11
0x4ebd	M奉9ﾃ	5	shift_jis	M奉9ﾃ
0x4ec4	I'll call you when I get the door open.#NJust wait a little. Okay?	68	latin-1	Te chamo quando conseguir abrir a porta.#NSó espere um pouco. Ok?
0x4f3b	G[1 11	9	shift_jis	G[1 11
0x4f6a	Z奉9ﾃ	5	shift_jis	Z奉9ﾃ
0x4f71	If you use a gas mask, you should be#Nable to survive that gas for a long time.	81	latin-1	Se usar uma máscara de gás, deve#Nconseguir sobreviver ao gás por muito tempo.
0x4fec	Where is the gas mask?	22	shift_jis	Onde está a máscara de gás?
0x5006	j奉9ﾃ	5	shift_jis	j奉9ﾃ
0x500d	On the 2nd floor basement of that#Nbuilding. So you'll have to go through#Nthere without one.	97	latin-1	No 2º subsolo daquele edifício. Então#Nvocê terá que passar por lá sem uma.
0x50c0	A cardboard box? I heard stories from#Nmy uncle, but I always thought he was#Npulling my leg...I...I've got no comment.	124	latin-1	Uma caixa de papelão? Ouvi histórias do#Nmeu tio, mas sempre pensei que ele estava#Nme enganando...eu...não tenho comentários.
0x515e	A111	8	shift_jis	A111
0x51b4	~奉9ﾃ	5	shift_jis	~奉9ﾃ
0x51bb	The place is mined? Well, if you use #Na Mine Detector, you'll be able to see#Nthe mines displayed on your radar.	117	latin-1	O lugar tem minas? Bem, se usar #Num Detector de Minas, conseguirá ver#Nas minas exibidas no seu radar.
0x526c	If you need a Mine Detector, there#Nshould be one on the 2nd floor of#Nthe tank hangar.	91	latin-1	Se precisar de um Detector de Minas,#Ndeveria haver um no 2º andar#Ndo hangar de tanques.
0x52dc	Fﾞ1 11	9	shift_jis	Fﾞ1 11
0x52fe	The cargo door's open already. If you#Nexit there and go north, you'll get to#Nthe Warhead Storage Building where#NDr. Emmerich is being held.	148	latin-1	A porta de carga já está aberta. Se#Nsair por lá e for ao norte, chegará#Nao Edifício de Armazenamento de Ogivas#Nonde o Dr. Emmerich está sendo mantido.
0x53b5	F奉9ﾃ	5	shift_jis	F奉9ﾃ
